original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
1120265,112026503,FINANCE,The Graham Company,General Consultant Services,Insurance Brokerage Srvs,9/1/2013,8/31/2014,0,"229,457.00","229,457.00",The Graham Company,1,ADVERTISED,For Profit
1320740,132074001,FINANCE,UNITARY,General Consultant Services,Broker PGW sale,5/1/2014,4/30/2015,212,"2,260,000.00", -   ,UNITARY,1,ADVERTISED,unknown
MPXX15000108,MPXX15000108,FINANCE,"Willis of New York, Inc.",Miscellaneous Order,Insurance Brokerage Svcs,7/1/2014,6/30/2015,273,"22,500.00","22,500.00","Willis of New York, Inc.",102,EXEMPT,For Profit
1420088,142008801,FINANCE,"XEROX State & Local Solutions, Inc.",Computer and Information Svcs,Code Unit Violations Syst,7/1/2014,6/30/2015,273,"1,412,500.00","188,423.84","XEROX State & Local Solutions, Inc.",1,ADVERTISED,For Profit
1420341,1420341,FIRE,Deccan International,Computer and Information Svcs,GIS Software Application,3/1/2014,2/28/2015,151,"530,000.00", -   ,Deccan International,1,ADVERTISED,For Profit
1320502,132050201,FIRE,Harrisburg Bureau of Fire,Inter-Governmental Agreements,Memorandum of Agreement,7/6/2013,7/5/2014,0,"50,000.00", -   ,Harrisburg Bureau of Fire,8,EXEMPT,Non Profit
1220380,122038003,FIRE,"Intermedix Holdings, Inc. d/b/a Intermedix",General Consultant Services,Billing To and Collection,2/1/2014,1/31/2015,123, -   , -   ,"Intermedix Holdings, Inc. d/b/a Intermedix",1,ADVERTISED,For Profit
1420246,142024601,FREE LIBRARY,Community Learning Center,General Consultant Services,Adult Literacy Inake,7/1/2014,6/30/2015,273,"75,000.00","50,000.00",Community Learning Center,1,ADVERTISED,Non Profit
1420247,142024701,FREE LIBRARY,Congreso De Latinos Unidos Inc,General Consultant Services,Adult Literacy Inake,7/1/2014,6/30/2015,273,"75,000.00","50,000.00",Congreso De Latinos Unidos Inc,1,ADVERTISED,Non Profit
MPXX15000166,MPXX15000166,FREE LIBRARY,Friends of the Free Library of Philadelphia,Miscellaneous Order,workshops and programs,7/1/2014,6/30/2015,273,"13,999.00", -   ,Friends of the Free Library of Philadelphia,102,EXEMPT,Non Profit
MPXX15000083,MPXX15000083,FREE LIBRARY,June Garcia LLC,Miscellaneous Order,Recruitment,7/1/2014,6/30/2015,273,"4,000.00","2,146.26",June Garcia LLC,102,EXEMPT,For Profit
MPXX15000182,MPXX15000182,FREE LIBRARY,Paul Trapido Interpretive Design LLC,Miscellaneous Order,Graphic Design Services,7/1/2014,6/30/2015,273,"30,000.00","2,525.00",Paul Trapido Interpretive Design LLC,102,EXEMPT,For Profit
1320425,132042503,FREE LIBRARY,PeopleShare,General Consultant Services,Professional Development,7/1/2014,6/30/2015,273,"306,000.00","100,000.00",PeopleShare,1,ADVERTISED,For Profit
1120394,112039405,FREE LIBRARY,"Personal Security Services, LLC",General Consultant Services,Cash Management,1/1/2014,12/31/2014,92,"89,520.00","23,480.00","Personal Security Services, LLC",1,ADVERTISED,For Profit
1420248,142024801,FREE LIBRARY,Phila Hospital & Health Care 1199C Training & Upgrading Fund,General Consultant Services,Adult Literacy Inake,7/1/2014,6/30/2015,273,"75,000.00","50,000.00",Phila Hospital & Health Care 1199C Training & Upgrading Fund,1,ADVERTISED,Non Profit
1320107,132010702,FREE LIBRARY,"Unique Management Services, Inc",General Consultant Services,Overdue notice service,7/1/2014,6/30/2015,273,"125,000.00","19,885.10","Unique Management Services, Inc",1,ADVERTISED,For Profit
1320151,132015103,HEALTH,AIDS Law Project,Legal Services,RWB LEGAL SERVICES,7/1/2014,6/30/2015,273,"57,868.00","9,225.00",AIDS Law Project,9,EXEMPT,Non Profit
1320321,132032102,HEALTH,AIDS Law Project,Legal Services,General Fund 2015,7/1/2014,6/30/2015,273,"78,498.00", -   ,AIDS Law Project,9,EXEMPT,Non Profit
1320700,132070004,HEALTH,AIDS Law Project,Legal Services,RWA Legal SVC. Increase,3/1/2014,2/28/2015,151,"504,303.00","203,643.00",AIDS Law Project,9,EXEMPT,Non Profit
1120332,112033203,HEALTH,AccessMatters,Health Department,STD Program,12/1/2013,11/30/2014,61,"131,334.00","32,527.20",AccessMatters,9,EXEMPT,Non Profit
1320583,132058302,HEALTH,ActionAIDS Incorporated,Health Department,HIV Case Mgt. Nagivation,7/1/2014,6/30/2015,273,"217,823.00", -   ,ActionAIDS Incorporated,9,EXEMPT,Non Profit
1220438,122043802,HEALTH,Albert Einstein Healthcare Network,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"35,000.00","24,866.00",Albert Einstein Healthcare Network,9,EXEMPT,Non Profit
1320701,132070102,HEALTH,Albert Einstein Healthcare Network,Health Department,RWA Additional Funds,3/1/2014,2/28/2015,151,"264,527.00","97,684.00",Albert Einstein Healthcare Network,9,EXEMPT,Non Profit
1420103,142010301,HEALTH,Albert Einstein Medical Center,Health Department,MSP - Prenatal Services,7/1/2014,6/30/2015,273,"60,000.00", -   ,Albert Einstein Medical Center,9,EXEMPT,Non Profit
1420136,142013601,HEALTH,"Alpha Medical Group, Ltd.",Health Department,Radiology Services,7/1/2014,6/30/2015,273,"1,390,662.00","406,950.69","Alpha Medical Group, Ltd.",1,ADVERTISED,For Profit
1220170,122017003,HEALTH,American Lung Association of Pennsylvania,Health Department,Flick Clinic Operation,7/1/2014,6/30/2015,273,"340,930.00", -   ,American Lung Association of Pennsylvania,9,EXEMPT,Non Profit
MPXX15000051,MPXX15000051,HEALTH,Arthur Washburn Ph.D,Miscellaneous Order,Forensic Anthropology Svs,7/1/2014,6/30/2015,273,"3,000.00",200,Arthur Washburn Ph.D,1,ADVERTISED,For Profit
1520096,1520096,HEALTH,Bellevue Media Group,Health Department,HPV Advertisement,7/1/2014,6/30/2015,273,"256,000.00","39,431.75",Bellevue Media Group,1,ADVERTISED,For Profit
1520298,1520298,HEALTH,Bicycle Coalition of Greater Philadelphia,Health Department,Safe Routes Phila,7/1/2014,6/30/2015,273,"100,000.00", -   ,Bicycle Coalition of Greater Philadelphia,9,EXEMPT,Non Profit
1320687,132068703,HEALTH,"CL Cressler, Inc.",Health Department,RWA HIV AIDS MEDS,7/1/2014,7/31/2014,0,"200,000.00", -   ,"CL Cressler, Inc.",1,ADVERTISED,For Profit
1320687,132068704,HEALTH,"CL Cressler, Inc.",Health Department,RWA HIV AIDS MED,8/1/2014,9/30/2014,0,"250,000.00", -   ,"CL Cressler, Inc.",1,ADVERTISED,For Profit
1220439,122043902,HEALTH,Children's Hospital of Philadelphia,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"299,000.00","161,416.00",Children's Hospital of Philadelphia,9,EXEMPT,Non Profit
1320702,132070202,HEALTH,Children's Hospital of Philadelphia,Health Department,RWA Additional Funds,3/1/2014,2/28/2015,151,"536,585.00","243,336.00",Children's Hospital of Philadelphia,9,EXEMPT,Non Profit
1420096,142009601,HEALTH,Children's Hospital of Philadelphia,Health Department,HIV Primary Care/Support,7/1/2014,6/30/2015,273,"98,865.00", -   ,Children's Hospital of Philadelphia,9,EXEMPT,Non Profit
1420387,142038701,HEALTH,Children's Hospital of Philadelphia,Health Department,State Prev 2015,7/1/2014,6/30/2015,273,"26,820.00","4,997.00",Children's Hospital of Philadelphia,1,ADVERTISED,Non Profit
1420394,1420394,HEALTH,Children's Hospital of Philadelphia,Health Department,Behavioral Surveillance,1/1/2014,12/31/2014,92,"142,577.00","50,734.00",Children's Hospital of Philadelphia,9,EXEMPT,Non Profit
MPXX15000096,MPXX15000096,HEALTH,Children's Hospital of Philadelphia,Miscellaneous Order,STD Surv Net (SSuN) Proj,7/1/2014,6/30/2015,273,"25,000.00","25,000.00",Children's Hospital of Philadelphia,103,Prior to 2-1-2006,Non Profit
MPXX15000099,MPXX15000099,HEALTH,Clean Air Council,Miscellaneous Order,Clean Air Reports,7/8/2014,6/30/2015,273,"26,000.00", -   ,Clean Air Council,103,Prior to 2-1-2006,Non Profit
1320703,132070302,HEALTH,Clinical Care Assoc. of the Univ. of Penna. Health System,Health Department,RWA Additionial Funds,3/1/2014,2/28/2015,151,"67,359.00","26,246.00",Clinical Care Assoc. of the Univ. of Penna. Health System,9,EXEMPT,Non Profit
1120437,112043703,HEALTH,Consilience Software,Computer and Information Svcs,Maven,3/7/2014,3/6/2015,157,"110,744.00","49,651.00",Consilience Software,1,ADVERTISED,For Profit
1420401,1420401,HEALTH,Council of Spanish Speaking Organizations Inc,Health Department,DDC Outreach Workers,12/1/2013,11/30/2014,61,"580,000.00","368,197.09",Council of Spanish Speaking Organizations Inc,9,EXEMPT,Non Profit
MPXX15000035,MPXX15000035,HEALTH,"DIGITAL HEALTH DEPARTMENT, INC",Miscellaneous Order,DHD License & Maintenance,7/1/2014,6/30/2015,273,"24,000.00","24,000.00","DIGITAL HEALTH DEPARTMENT, INC",102,EXEMPT,For Profit
1120652,112065204,HEALTH,"David A. Lopez and Company, LLC",Accounting and Auditing Svcs,Get Healthy Philly,6/1/2014,5/31/2015,243,"9,976.00", -   ,"David A. Lopez and Company, LLC",7,EXEMPT,For Profit
MPXX15000064,MPXX15000064,HEALTH,Dental Forensic Services of Indian Valley,Miscellaneous Order,Forensic Odontology Svs,7/1/2014,6/30/2015,273,"3,500.00","2,700.00",Dental Forensic Services of Indian Valley,1,ADVERTISED,For Profit
MPXX15000058,MPXX15000058,HEALTH,"Dhody Osteological Consulting, LLC",Miscellaneous Order,Forensic Anthropology Svs,7/1/2014,6/30/2015,273,"1,000.00", -   ,"Dhody Osteological Consulting, LLC",102,EXEMPT,For Profit
1320758,132075801,HEALTH,Drexel University,Health Department,Comm. Health Improvement,1/1/2014,12/31/2014,92,"15,000.00","46,134.00",Drexel University,9,EXEMPT,Non Profit
1420419,1420419,HEALTH,Drexel University,Health Department,Salt reduction Media Eval,9/30/2013,9/29/2014,0,"87,928.00","57,728.36",Drexel University,9,EXEMPT,Non Profit
1520160,1520160,HEALTH,Drexel University,Health Department,Ryan White B,7/1/2014,6/30/2015,273,"124,204.00", -   ,Drexel University,9,EXEMPT,Non Profit
1520172,1520172,HEALTH,Drexel University,Health Department,Pediatric TB Clinic,7/1/2014,6/30/2015,273,"65,450.00", -   ,Drexel University,9,EXEMPT,Non Profit
1520268,1520268,HEALTH,Drexel University,Health Department,RWA,7/1/2014,2/28/2015,151,"264,136.00", -   ,Drexel University,9,EXEMPT,Non Profit
1520269,1520269,HEALTH,Drexel University,Health Department,CDC Prevention,7/1/2014,12/31/2014,92,"29,974.00", -   ,Drexel University,9,EXEMPT,Non Profit
1420102,142010201,HEALTH,"Dunbar Armored, Inc.",Health Department,Armored Cash Collection,7/1/2014,6/30/2015,273,"40,000.00", -   ,"Dunbar Armored, Inc.",1,ADVERTISED,For Profit
1320088,132008802,HEALTH,"Ellison Group, The",General Consultant Services,Human Resources Consultan,7/1/2014,6/30/2015,273,"20,000.00", -   ,"Ellison Group, The",7,EXEMPT,For Profit
1520025,1520025,HEALTH,"Fairmount Long Term Care, Inc",General Consultant Services,PNH Operations,7/1/2014,6/30/2015,273,"35,828,767.00","6,322,265.68","Fairmount Long Term Care, Inc",9,EXEMPT,Non Profit
1420122,142012201,HEALTH,"General Healthcare Resources, Inc.",Health Department,NursingServices-Riverview,7/1/2014,6/30/2015,273,"652,311.00", -   ,"General Healthcare Resources, Inc.",1,ADVERTISED,For Profit
1420376,1420376,HEALTH,Greater Philadelphia Business Coalition on Health,Health Department,Value Based Insurance,9/30/2013,9/29/2014,0,"30,039.00","27,535.78",Greater Philadelphia Business Coalition on Health,9,EXEMPT,Non Profit
1220101,122010103,HEALTH,"Group 6 Healthcare Consulting & Management, LLC",General Consultant Services,PNH Patient Care Monitor,7/1/2014,6/30/2015,273,"110,000.00", -   ,"Group 6 Healthcare Consulting & Management, LLC",1,ADVERTISED,For Profit
1120121,112012104,HEALTH,Health Business Systems,Computer and Information Svcs,Pharmacy Mngmnt System,7/1/2014,12/31/2014,92,"51,440.00", -   ,Health Business Systems,1,ADVERTISED,For Profit
1120319,112031904,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,PCSI,10/1/2013,9/30/2014,0,"667,926.00","315,078.00","Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1320101,132010102,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Suppoet and Oversight,7/1/2014,6/30/2015,273,"8,825,950.00","1,125,017.00","Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1420229,142022901,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Bioterrorism Training,7/1/2014,6/30/2015,273,"55,078.00","3,504.00","Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1420398,142039801,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Tobacco counsel & train,7/1/2014,6/30/2015,273,"139,488.00", -   ,"Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1420402,1420402,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,HPV Vaccination,11/1/2013,10/31/2014,31,"127,929.00","85,875.00","Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1520273,1520273,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Title V CSHCN/Adolescent,7/1/2014,6/30/2015,273,"115,413.00","5,374.00","Health Federation of Philadelphia, Inc",9,EXEMPT,Non Profit
1220227,122022708,HEALTH,Health Promotion Council of SE Pa Inc,Health Department,MSA Enforcement,7/1/2014,6/30/2015,273,"89,285.00", -   ,Health Promotion Council of SE Pa Inc,9,EXEMPT,Non Profit
1320705,132070503,HEALTH,Kennedy University Hospital Inc,Health Department,RWA Additional funds,3/1/2014,2/28/2015,151,"787,630.00","171,057.00",Kennedy University Hospital Inc,9,EXEMPT,Non Profit
1220440,122044002,HEALTH,Kensington Hospital,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"65,000.00","39,403.00",Kensington Hospital,9,EXEMPT,Non Profit
1320706,132070601,HEALTH,Kensington Hospital,Health Department,RWA,3/1/2014,2/28/2015,151,"151,450.00","44,168.00",Kensington Hospital,9,EXEMPT,Non Profit
1320039,132003902,HEALTH,LaSalle University,Health Department,HIP,7/1/2014,6/30/2015,273,"285,000.00","21,127.00",LaSalle University,9,EXEMPT,Non Profit
MPXX15000144,MPXX15000144,HEALTH,"Lawrence A. Dobrin DMD, DABFO",Miscellaneous Order,Forensic Odontology Svs,7/1/2014,6/30/2015,273,"2,500.00", -   ,"Lawrence A. Dobrin DMD, DABFO",1,ADVERTISED,For Profit
MPXX15000065,MPXX15000065,HEALTH,"Linda Barbara Edelson-Slocum, DMD",Miscellaneous Order,Forensic Odontology Svs,7/1/2014,6/30/2015,273,"3,500.00",600,"Linda Barbara Edelson-Slocum, DMD",1,ADVERTISED,For Profit
1220248,122024803,HEALTH,"Lucy B. Rorke-Adams, MD",Health Department,Forensic Neuropathology,7/1/2014,12/31/2014,92,"5,000.00", -   ,"Lucy B. Rorke-Adams, MD",1,ADVERTISED,For Profit
1420350,1420350,HEALTH,MEE Productions Inc,Health Department,Salt Reduction Media,9/30/2013,9/29/2014,0,"390,000.00","390,000.00",MEE Productions Inc,1,ADVERTISED,For Profit
1520093,1520093,HEALTH,"Mark W. Rovinski, CPA, LLC",Accounting and Auditing Svcs,Finanical Monitoring,7/1/2014,6/30/2015,273,"64,625.00", -   ,"Mark W. Rovinski, CPA, LLC",1,ADVERTISED,For Profit
1220472,122047202,HEALTH,Mazzoni Center,Health Department,Syphilis Surveillance,2/1/2014,1/31/2015,123,"31,680.00","13,926.00",Mazzoni Center,9,EXEMPT,Non Profit
1220366,122036602,HEALTH,Mental Health  Association of Southeastern PA,Health Department,SAMSHA,9/30/2013,9/29/2014,0,"382,552.00","235,170.00",Mental Health  Association of Southeastern PA,9,EXEMPT,Non Profit
1220441,122044102,HEALTH,Mercy Catholic Medical Center,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"36,000.00","10,114.00",Mercy Catholic Medical Center,9,EXEMPT,Non Profit
1420120,142012002,HEALTH,National Nursing Centers Consortium,Health Department,Cross Program Data Mgr,7/1/2014,6/30/2015,273,"61,926.00", -   ,National Nursing Centers Consortium,9,EXEMPT,Non Profit
1420525,1420525,HEALTH,"Online Solutions, LLC",Computer and Information Svcs,Web-based software system,3/28/2014,3/27/2015,178,"98,000.00","30,000.00","Online Solutions, LLC",1,ADVERTISED,For Profit
1220367,122036702,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,SAMSHA,9/30/2013,9/29/2014,0,"552,367.00","396,287.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1220443,122044302,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"55,000.00","25,026.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1220444,122044402,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"120,000.00","58,179.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1320707,132070702,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,RWA,3/1/2014,2/28/2015,151,"1,091,775.00","330,294.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1320708,132070801,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,RWA,3/1/2014,2/28/2015,151,"356,435.00","122,819.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1420395,1420395,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,Behavioral Surveillance,1/1/2014,12/31/2014,92,"138,777.00","41,991.00",Phila Health & Education Corp dba Drexel Univ Coll of Med,9,EXEMPT,Non Profit
1220594,122059402,HEALTH,Philadelphia Housing Authority,Health Department,Smoke-Free Public Housing,9/30/2013,9/29/2014,0,"100,000.00","45,577.70",Philadelphia Housing Authority,8,EXEMPT,Non Profit
1220442,122044202,HEALTH,Presbyterian Medical Center of the Univ of Penn Health Sys,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"68,923.00","44,999.00",Presbyterian Medical Center of the Univ of Penn Health Sys,9,EXEMPT,Non Profit
1320709,132070901,HEALTH,Presbyterian Medical Center of the Univ of Penn Health Sys,Health Department,RWA,3/1/2014,2/28/2015,151,"288,539.00","80,773.00",Presbyterian Medical Center of the Univ of Penn Health Sys,9,EXEMPT,Non Profit
MPXX15000157,MPXX15000157,HEALTH,Public Financial Management Inc,Miscellaneous Order,Accounts Payable Process,8/1/2014,6/30/2015,273,"29,885.00", -   ,Public Financial Management Inc,102,EXEMPT,For Profit
1120416,112041604,HEALTH,"Public Health Foundation Enterprises, Inc. (dba PHFE Mgmnt)",Computer and Information Svcs,EHR Project,1/1/2014,12/31/2014,92,"931,200.00","136,625.25","Public Health Foundation Enterprises, Inc. (dba PHFE Mgmnt)",9,EXEMPT,Non Profit
1120350,112035003,HEALTH,Public Health Management Corporation,Health Department,Epi & Lab Capacity,12/1/2013,11/30/2014,61,"343,436.00","213,021.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1120377,112037703,HEALTH,Public Health Management Corporation,Health Department,KIDS Immunization,12/1/2013,11/30/2014,61,"1,224,909.00","32,553.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1220073,122007304,HEALTH,Public Health Management Corporation,Health Department,MIS Staffing,7/1/2014,6/30/2015,273,"282,535.51", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1220120,122012003,HEALTH,Public Health Management Corporation,Health Department,Bioterrorirism,7/1/2014,6/30/2015,273,"959,211.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1220392,122039202,HEALTH,Public Health Management Corporation,Health Department,Immunization Education,12/1/2013,11/30/2014,61,"1,227,537.00","100,065.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1220425,122042502,HEALTH,Public Health Management Corporation,Health Department,Home Remediation work,12/1/2013,11/30/2014,61,"945,000.00","54,867.98",Public Health Management Corporation,9,EXEMPT,Non Profit
1220506,122050603,HEALTH,Public Health Management Corporation,Health Department,Get Healthy Philly,9/30/2013,9/29/2014,0,"63,999.00","47,314.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1220551,122055102,HEALTH,Public Health Management Corporation,Health Department,Immunization Spec Project,1/1/2014,12/31/2014,92,"62,756.00","15,506.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1320093,132009303,HEALTH,Public Health Management Corporation,Health Department,AHS Mammography Support,7/1/2014,6/30/2015,273,"254,191.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1320412,132041202,HEALTH,Public Health Management Corporation,Health Department,Refugee Mgr and Epi Spec,7/1/2014,6/30/2015,273,"143,922.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1320414,132041404,HEALTH,Public Health Management Corporation,Health Department,Get Healthy Philly Staff,7/1/2014,6/30/2015,273,"186,731.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1320600,132060001,HEALTH,Public Health Management Corporation,Health Department,STD DIS,12/1/2013,11/30/2014,61,"1,156,994.00","313,098.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1320643,132064302,HEALTH,Public Health Management Corporation,Health Department,CDC Surveillance C&I/Beh,1/1/2014,12/31/2014,92,"1,500,000.00","399,442.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1320731,132073102,HEALTH,Public Health Management Corporation,Health Department,Ryan White A Umbrella,3/1/2014,2/28/2015,151,"3,856,986.00","768,156.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1320748,132074801,HEALTH,Public Health Management Corporation,Health Department,Accredidation GHP,1/1/2014,12/31/2014,92,"93,818.00","52,792.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1320770,132077001,HEALTH,Public Health Management Corporation,Health Department,CDC Surveillance MMP,6/1/2014,5/31/2015,243,"261,761.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1420119,142011902,HEALTH,Public Health Management Corporation,Health Department,FY15 GF Admin,7/1/2014,6/30/2015,273,"686,413.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1420410,1420410,HEALTH,Public Health Management Corporation,Health Department,STD Surveillance,12/1/2013,11/30/2014,61,"1,012,347.00","390,794.00",Public Health Management Corporation,9,EXEMPT,Non Profit
1420446,142044601,HEALTH,Public Health Management Corporation,Health Department,Support services,7/1/2014,6/30/2015,273,"383,025.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
1420549,1420549,HEALTH,Public Health Management Corporation,Health Department,Household Health Survey,4/30/2014,9/29/2014,0,"18,000.00", -   ,Public Health Management Corporation,9,EXEMPT,Non Profit
MPXX15000221,MPXX15000221,HEALTH,Public Health Management Corporation,Miscellaneous Order,CWSHCN,7/1/2014,6/30/2015,273,"4,340.00", -   ,Public Health Management Corporation,103,Prior to 2-1-2006,Non Profit
MPXX15000045,MPXX15000045,HEALTH,RTM Designs,Miscellaneous Order,Annual Support Refer Net,7/1/2014,6/30/2015,273,"2,500.00", -   ,RTM Designs,102,EXEMPT,For Profit
1420192,142019202,HEALTH,"RUTGERS, THE STATE UNIVERSITY",Health Department,RWA Additional funds,3/1/2014,2/28/2015,151,"176,266.00","93,549.00","RUTGERS, THE STATE UNIVERSITY",9,EXEMPT,Non Profit
1320678,132067801,HEALTH,"Sage Pursuits, Inc.  dba: Envision Technology Partners, Inc.",Computer and Information Svcs,STD Data Mgmt System,6/1/2014,5/31/2015,243,"325,000.00","97,000.00","Sage Pursuits, Inc.  dba: Envision Technology Partners, Inc.",1,ADVERTISED,For Profit
MPXX15000100,MPXX15000100,HEALTH,"Social Solutions Global, Inc.",Miscellaneous Order,ETO,7/1/2014,6/30/2015,273,"11,460.00","11,460.00","Social Solutions Global, Inc.",102,EXEMPT,For Profit
1220445,122044502,HEALTH,Temple University,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"70,000.00","33,467.00",Temple University,9,EXEMPT,Non Profit
1220509,122050902,HEALTH,Temple University,Health Department,Salt Reduction & Tobacco,9/30/2013,9/29/2014,0,"75,000.00","71,174.95",Temple University,9,EXEMPT,Non Profit
1320710,132071002,HEALTH,Temple University,Health Department,RWA MAI,3/1/2014,2/28/2015,151,"495,191.00","94,074.00",Temple University,9,EXEMPT,Non Profit
1320711,132071102,HEALTH,Temple University,Health Department,RWA DENTAL,3/1/2014,2/28/2015,151,"113,769.00","33,000.00",Temple University,9,EXEMPT,Non Profit
1420091,142009101,HEALTH,Temple University,Health Department,HIV/AIDS Dental Care,7/1/2014,6/30/2015,273,"40,868.00", -   ,Temple University,9,EXEMPT,Non Profit
1420326,1420326,HEALTH,Temple University,Health Department,Salt Reduction in Comm,9/30/2013,9/29/2014,0,"105,047.00","48,444.12",Temple University,9,EXEMPT,Non Profit
MPXX15000005,MPXX15000005,HEALTH,Tenet Health Systems St. CHFC  L.L.C.,Miscellaneous Order,Pediatric Specialty Svcs.,7/1/2014,6/30/2015,273,"25,000.00", -   ,Tenet Health Systems St. CHFC  L.L.C.,102,EXEMPT,For Profit
1320704,132070403,HEALTH,The Cooper Health System,Health Department,RWA additional funds,3/1/2014,2/28/2015,151,"866,730.00","191,227.00",The Cooper Health System,9,EXEMPT,Non Profit
1220507,122050703,HEALTH,The Food Trust,Health Department,Healthy Food Access,9/30/2013,9/29/2014,0,"88,669.00","53,742.00",The Food Trust,9,EXEMPT,Non Profit
1420325,1420325,HEALTH,The Food Trust,Health Department,Salt Reduction in Comm.,9/30/2013,9/29/2014,0,"25,820.00","11,949.00",The Food Trust,9,EXEMPT,Non Profit
1220446,122044602,HEALTH,Thomas Jefferson University,Health Department,CDC Prevention 2014,1/1/2014,12/31/2014,92,"57,500.00","26,865.00",Thomas Jefferson University,9,EXEMPT,Non Profit
1320712,132071202,HEALTH,Thomas Jefferson University,Health Department,Additonal Award,3/1/2014,2/28/2015,151,"190,966.00","79,449.00",Thomas Jefferson University,9,EXEMPT,Non Profit
1220208,122020803,HEALTH,UNITARY,Health Department,Temporary Pharmacy Staff,7/1/2014,6/30/2015,273,"700,000.00", -   ,UNITARY,1,ADVERTISED,unknown
1220455,122045502,HEALTH,UNITARY,Health Department,CDC Prevention Unitary,1/1/2014,12/31/2014,92,"3,000,000.00","1,370,868.00",UNITARY,9,EXEMPT,unknown
1220547,122054702,HEALTH,UNITARY,Health Department,Healthy Start Unitary,6/1/2014,8/31/2014,0,"596,944.00", -   ,UNITARY,9,EXEMPT,unknown
1320730,132073001,HEALTH,UNITARY,Health Department,Ryan White A Unitary,3/1/2014,2/28/2015,151,"8,824,382.00","3,118,854.00",UNITARY,9,EXEMPT,unknown
1420117,142011701,HEALTH,UNITARY,Health Department,GF Unitary,7/1/2014,6/30/2015,273,"1,927,689.00","62,245.00",UNITARY,9,EXEMPT,unknown
1420128,142012801,HEALTH,UNITARY,Health Department,Ryan White B Unitary,7/1/2014,6/30/2015,273,"3,403,541.00","144,301.00",UNITARY,9,EXEMPT,unknown
1420364,1420364,HEALTH,UNITARY,Health Department,Phila. Integ. Hlth SAMHSA,9/30/2013,9/29/2014,0,"500,000.00","166,673.00",UNITARY,9,EXEMPT,unknown
1420388,142038801,HEALTH,UNITARY,Health Department,State Prev & 656 Unitary,7/1/2014,6/30/2015,273,"1,306,883.00","66,490.00",UNITARY,1,ADVERTISED,unknown
1520234,1520234,HEALTH,UNITARY,Health Department,St. Prev/656 Unitary #2,7/1/2014,6/30/2015,273,"781,370.00","37,454.00",UNITARY,9,EXEMPT,unknown
