original_contract_id,current_item_id,department_name,vendor,contract_structure_type,desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
1820421,182042101,HEALTH,Temple University,Health Department,FY 19 Comp HIV Sur& Pre,1/1/2019,12/31/2019,274,"  96,000.00 ",  -   ,Temple University,01,ADVERTISED,Non Profit
1820598,1820598,HEALTH,Temple University,Health Department,Health Enterprise Zone,2/1/2018,1/31/2019,0,"  289,829.53 ","  211,299.52 ",Temple University,09,EXEMPT,Non Profit
MPXX19000098,MPXX19000098,HEALTH,The College of Physicians of Philadelphia,Miscellaneous Order,Pub Health Grand Rounds,7/1/2018,6/30/2019,90,"  10,000.00 ","  10,000.00 ",The College of Physicians of Philadelphia,102,EXEMPT,Non Profit
1720681,172068101,HEALTH,The Cooper Health System,Health Department,FY 18 RWA,3/1/2018,2/28/2019,0,"  1,026,407.00 ","  601,932.00 ",The Cooper Health System,09,EXEMPT,Non Profit
1920285,1920285,HEALTH,The Food Trust,Health Department,Healthy Food Access,7/1/2018,6/30/2019,90,"  200,000.00 ",  -   ,The Food Trust,09,EXEMPT,Non Profit
1920471,1920471,HEALTH,"The Health Care Improvement Foundation, Inc.",Health Department,Heart Disease Prevention,9/30/2018,9/29/2019,181,"  54,912.00 ",  -   ,"The Health Care Improvement Foundation, Inc.",09,EXEMPT,Non Profit
MPXX19000054,MPXX19000054,HEALTH,The Praxis Project,Miscellaneous Order,Training,7/1/2018,6/30/2019,90,"  4,000.00 ","  4,000.00 ",The Praxis Project,102,EXEMPT,Non Profit
MPXX19000223,MPXX19000223,HEALTH,The Public Interest Law Center,Miscellaneous Order,Legal Analysis,11/1/2018,6/30/2019,90,"  30,000.00 ",  -   ,The Public Interest Law Center,102,EXEMPT,Non Profit
1720691,172069103,HEALTH,Thomas Jefferson University,Health Department,FY 18 RWA to increase $,3/1/2018,2/28/2019,0,"  243,531.00 ","  170,872.00 ",Thomas Jefferson University,09,EXEMPT,Non Profit
1920316,1920316,HEALTH,"Timi Pharmaceuticals, inc.",Health Department,Naloxone Distribution,10/15/2018,6/30/2019,90,"  75,000.00 ","  50,882.50 ","Timi Pharmaceuticals, inc.",01,ADVERTISED,For Profit
1920457,1920457,HEALTH,"Tri County Termite & Pest Control, Inc.",Health Department,Integrated Pest Mgmt,3/1/2019,2/29/2020,334,"  91,325.00 ",  -   ,"Tri County Termite & Pest Control, Inc.",01,ADVERTISED,For Profit
MPXX19000044,MPXX19000044,HEALTH,Tyler Technologies,Miscellaneous Order,Tyler Tech. Lic. & Maint,7/1/2018,6/30/2019,90,"  24,000.00 ",  -   ,Tyler Technologies,102,EXEMPT,For Profit
1620122,162012203,HEALTH,UNITARY,Health Department,Temp. Pharmacy Staffing,7/1/2018,6/30/2019,90,"  700,000.00 ","  352,577.10 ",UNITARY,01,ADVERTISED,unknown
1620442,162044203,HEALTH,UNITARY,Health Department,FY 19 CDC Navigation,9/30/2018,9/29/2019,181,"  1,300,000.00 ","  591,854.00 ",UNITARY,01,ADVERTISED,unknown
1720021,172002102,HEALTH,UNITARY,Health Department,Meidcal Specialty Service,7/1/2018,6/30/2019,90,"  2,387,327.00 ","  574,086.12 ",UNITARY,09,EXEMPT,unknown
1720690,172069001,HEALTH,UNITARY,Health Department,FY18 UNITARY RWA,3/1/2018,2/28/2019,0,"  9,442,990.00 ","  7,181,128.00 ",UNITARY,09,EXEMPT,unknown
1720754,172075403,HEALTH,UNITARY,Health Department,Healthy Start,4/1/2018,3/31/2019,0,"  1,800,000.00 ","  1,195,771.53 ",UNITARY,09,EXEMPT,unknown
1820083,182008301,HEALTH,UNITARY,Health Department,Medical Specialty Service,7/1/2018,6/30/2019,90,"  150,000.00 ",  -   ,UNITARY,09,EXEMPT,unknown
1820114,182011401,HEALTH,UNITARY,Health Department,FY 19 State Rebate,7/1/2018,6/30/2019,90,"  4,225,387.00 ","  2,387,867.00 ",UNITARY,09,EXEMPT,unknown
1820155,182015501,HEALTH,UNITARY,Health Department,FY 19 GF,7/1/2018,6/30/2019,90,"  2,229,119.00 ","  1,253,772.00 ",UNITARY,09,EXEMPT,unknown
1820162,182016201,HEALTH,UNITARY,Health Department,FY 19 State Pre&656,7/1/2018,6/30/2019,90,"  1,945,144.00 ","  1,008,559.00 ",UNITARY,09,EXEMPT,unknown
1820470,182047001,HEALTH,UNITARY,Health Department,FY 19 Comp HIV Sur & Pre,1/1/2019,12/31/2019,274,"  1,963,480.00 ",  -   ,UNITARY,09,EXEMPT,unknown
1720667,172066701,HEALTH,"University of Pennsylvania, Trustees of the",Health Department,FY 18 RWA- DENTAL,3/1/2018,2/28/2019,0,"  341,319.00 ","  277,153.00 ","University of Pennsylvania, Trustees of the",09,EXEMPT,Non Profit
1720668,172066801,HEALTH,"University of Pennsylvania, Trustees of the",Housing and Economic Dev,FY 18 RWA,3/1/2018,2/28/2019,0,"  403,065.00 ","  343,553.00 ","University of Pennsylvania, Trustees of the",09,EXEMPT,Non Profit
1820058,182005801,HEALTH,"University of Pennsylvania, Trustees of the",Health Department,HIV/AIDS Services,7/1/2018,6/30/2019,90,"  100,000.00 ","  49,999.98 ","University of Pennsylvania, Trustees of the",09,EXEMPT,Non Profit
1820222,182022201,HEALTH,"University of Pennsylvania, Trustees of the",Health Department,Obstetrical Consultant,7/1/2018,6/30/2019,90,"  57,926.57 ","  27,237.70 ","University of Pennsylvania, Trustees of the",09,EXEMPT,Non Profit
1820316,182031601,HEALTH,"University of Pennsylvania, Trustees of the",Health Department,Public Health Detailing,7/1/2018,6/30/2019,90,"  150,000.00 ","  95,855.00 ","University of Pennsylvania, Trustees of the",09,EXEMPT,Non Profit
1620444,162044403,HEALTH,Urban Affairs Coalition,Health Department,FY 19 CDC Navigation,9/30/2018,9/29/2019,181,"  235,000.00 ","  60,448.00 ",Urban Affairs Coalition,01,ADVERTISED,Non Profit
1720684,172068401,HEALTH,Urban Affairs Coalition,Health Department,UAC -FY 18 RWA,3/1/2018,2/28/2019,0,"  212,671.00 ","  128,234.00 ",Urban Affairs Coalition,09,EXEMPT,Non Profit
1820108,182010802,HEALTH,Urban Affairs Coalition,Health Department,FY 19 GF,7/1/2018,6/30/2019,90,"  391,950.00 ","  61,484.00 ",Urban Affairs Coalition,09,EXEMPT,Non Profit
1820159,182015902,HEALTH,Urban Affairs Coalition,Health Department,FY 19 State Pre- OTO,7/1/2018,6/30/2019,90,"  1,101,500.00 ","  459,027.00 ",Urban Affairs Coalition,09,EXEMPT,Non Profit
1820422,182042201,HEALTH,Urban Affairs Coalition,Health Department,FY 19 Comp HIV Sur&Pre,1/1/2019,12/31/2019,274,"  298,000.00 ",  -   ,Urban Affairs Coalition,01,ADVERTISED,Non Profit
1920137,192013701,HEALTH,Vanguard Direct Inc.,Health Department,Media Campaign,7/1/2018,6/30/2019,90,"  297,351.00 ","  11,000.00 ",Vanguard Direct Inc.,01,ADVERTISED,For Profit
MPXX19000075,MPXX19000075,HEALTH,Vericord LLC dba Chexout,Miscellaneous Order,STD Test Results Text,7/1/2018,6/30/2019,90,"  32,000.00 ","  32,000.00 ",Vericord LLC dba Chexout,102,EXEMPT,For Profit
MPXX19000003,MPXX19000003,HEALTH,"WILLS EYE OPTHALMOLOGY CLINIC, INC.",Miscellaneous Order,Pathologic Ophthalmic,7/1/2018,6/30/2019,90,"  8,000.00 ","  2,000.00 ","WILLS EYE OPTHALMOLOGY CLINIC, INC.",102,EXEMPT,Non Profit
1720577,172057702,HEALTH,Welcoming Center for New Pennsylvanians,Health Department,Tobacco Retailer Project,7/1/2018,6/30/2019,90,"  20,000.00 ","  9,680.83 ",Welcoming Center for New Pennsylvanians,09,EXEMPT,Non Profit
1720061,172006102,HEALTH,Women Organized Against Rape,Health Department,Sexual Assault,7/1/2018,6/30/2019,90,"  105,000.00 ","  52,108.00 ",Women Organized Against Rape,09,EXEMPT,Non Profit
MPXX19000149,MPXX19000149,HEALTH,ZevRoss Spatial Analysis LLC,Miscellaneous Order,Spatial Analysis,8/9/2018,6/30/2019,90,"  32,000.00 ",  -   ,ZevRoss Spatial Analysis LLC,102,EXEMPT,For Profit
1920136,192013603,HEALTH,ab+c Creative Intelligence,Health Department,Media Campaign,7/1/2018,6/30/2019,90,"  368,920.00 ","  161,659.96 ",ab+c Creative Intelligence,01,ADVERTISED,For Profit
1820143,182014303,HUMAN SERVICES,"3300 Henry Avenue Operating Company, LP",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  346,687.00 ","  167,654.25 ","3300 Henry Avenue Operating Company, LP",01,ADVERTISED,For Profit
1820145,182014502,HUMAN SERVICES,"3938 Glen Drive Operating Company, LP",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  130,734.00 ","  74,929.95 ","3938 Glen Drive Operating Company, LP",01,ADVERTISED,For Profit
1820142,182014201,HUMAN SERVICES,"425 Cedarcrest Road Operating Company, LP",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  87,156.00 ","  58,830.30 ","425 Cedarcrest Road Operating Company, LP",01,ADVERTISED,For Profit
1820144,182014402,HUMAN SERVICES,"90 Cafferty Road Operating Company, LP",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  443,043.00 ","  203,364.00 ","90 Cafferty Road Operating Company, LP",01,ADVERTISED,For Profit
1720240,172024003,HUMAN SERVICES,A Child's First Step,Human Services Department,Child Care Services,7/1/2018,6/30/2019,90,"  40,000.00 ","  20,265.65 ",A Child's First Step,01,ADVERTISED,For Profit
1720229,172022902,HUMAN SERVICES,"A Second Chance, Inc.",Human Services Department,FGDM,7/1/2018,6/30/2019,90,"  410,000.00 ","  203,250.00 ","A Second Chance, Inc.",09,EXEMPT,Non Profit
1920199,1920199,HUMAN SERVICES,"A Second Chance, Inc.",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  19,780,733.00 ","  12,903,354.90 ","A Second Chance, Inc.",09,EXEMPT,Non Profit
1820454,182045402,HUMAN SERVICES,Acollective Consulting LLC,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  147,686.00 ","  74,235.00 ",Acollective Consulting LLC,01,ADVERTISED,For Profit
1720145,172014506,HUMAN SERVICES,Adelphoi Villiage,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  1,317,898.00 ","  731,514.32 ",Adelphoi Villiage,09,EXEMPT,Non Profit
MPXX19000061,MPXX19000061,HUMAN SERVICES,Adoption Center of Delaware Valley,Miscellaneous Order,Adoption Recruitment Srv,7/1/2018,6/30/2019,90,"  17,167.00 ",  -   ,Adoption Center of Delaware Valley,102,EXEMPT,Non Profit
1720129,172012905,HUMAN SERVICES,Alternative Rehabilitation Communities Inc.,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  1,307,889.00 ","  597,825.15 ",Alternative Rehabilitation Communities Inc.,09,EXEMPT,Non Profit
MPXX19000070,MPXX19000070,HUMAN SERVICES,American National Red Cross It's Constituant Chapters - Bran,Miscellaneous Order,CPR Training,7/1/2018,6/30/2019,90,"  9,540.00 ","  6,268.53 ",American National Red Cross It's Constituant Chapters - Bran,102,EXEMPT,Non Profit
1920122,1920122,HUMAN SERVICES,"Asociacion Puertorriquenos En Marcha, Inc.",Human Services Department,IOC CUA #2,7/1/2018,6/30/2019,90,"  11,849,688.32 ","  6,545,755.22 ","Asociacion Puertorriquenos En Marcha, Inc.",09,EXEMPT,Non Profit
1720224,172022402,HUMAN SERVICES,Assessment & Treatment Alternatives Inc,Human Services Department,Evaluations,7/1/2018,6/30/2019,90,"  75,000.00 ","  1,000.00 ",Assessment & Treatment Alternatives Inc,09,EXEMPT,Non Profit
1720256,172025603,HUMAN SERVICES,Assessment & Treatment Alternatives Inc,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  202,712.00 ","  109,900.03 ",Assessment & Treatment Alternatives Inc,09,EXEMPT,Non Profit
MPXX19000197,MPXX19000197,HUMAN SERVICES,"Astro Printing Services, Inc",Miscellaneous Order,Printing Services,7/1/2018,6/30/2019,90,"  25,000.00 ","  19,507.60 ","Astro Printing Services, Inc",102,EXEMPT,For Profit
1820080,182008001,HUMAN SERVICES,"Attic Youth Center, The",Human Services Department,LGBTQ Services,7/1/2018,6/30/2019,90,"  100,000.00 ","  67,773.00 ","Attic Youth Center, The",09,EXEMPT,Non Profit
MPXX19000125,MPXX19000125,HUMAN SERVICES,"Attic Youth Center, The",Miscellaneous Order,Staff Training on LGBTQ,7/1/2018,6/30/2019,90,"  3,500.00 ",  -   ,"Attic Youth Center, The",102,EXEMPT,Non Profit
1820395,182039503,HUMAN SERVICES,Bancroft Neurohealth d/b/a Bancroft Rehabilitation Services,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  400,857.60 ","  132,613.80 ",Bancroft Neurohealth d/b/a Bancroft Rehabilitation Services,09,EXEMPT,Non Profit
1820340,182034001,HUMAN SERVICES,Be Strong Families NFP,Human Services Department,Training,7/1/2018,6/30/2019,90,"  50,000.00 ","  32,553.06 ",Be Strong Families NFP,09,EXEMPT,Non Profit
1820185,182018503,HUMAN SERVICES,Being Beautiful Foundation,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  900,000.00 ","  413,027.16 ",Being Beautiful Foundation,09,EXEMPT,Non Profit
1720049,172004902,HUMAN SERVICES,Bethanna,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  8,823,416.00 ","  5,436,676.23 ",Bethanna,09,EXEMPT,Non Profit
1820288,182028801,HUMAN SERVICES,Bethanna,Human Services Department,PCIT Collaterals,7/1/2018,6/30/2019,90,"  31,344.00 ",  -   ,Bethanna,09,EXEMPT,Non Profit
1920250,1920250,HUMAN SERVICES,Bethanna,Human Services Department,IOC CUA#8,7/1/2018,6/30/2019,90,"  8,471,908.22 ","  5,209,080.06 ",Bethanna,09,EXEMPT,Non Profit
1720023,172002303,HUMAN SERVICES,Bethany Christian Services,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  1,896,938.00 ","  931,253.88 ",Bethany Christian Services,09,EXEMPT,Non Profit
1720143,172014302,HUMAN SERVICES,Big Brothers Big Sisters Association,Human Services Department,Mentoring Program,7/1/2018,6/30/2019,90,"  400,000.00 ","  265,718.00 ",Big Brothers Big Sisters Association,09,EXEMPT,Non Profit
1920114,1920114,HUMAN SERVICES,"Blue Chip Technologies-US, Inc. d/b/a Guardian MPS",Computer and Information Svcs,Mobile Safety Enhancement,7/1/2018,6/30/2019,90,"  90,000.00 ","  45,000.00 ","Blue Chip Technologies-US, Inc. d/b/a Guardian MPS",01,ADVERTISED,For Profit
1720787,172078702,HUMAN SERVICES,C.B. Community Schools,Human Services Department,Learning Support,7/1/2018,6/30/2019,90,"  150,000.00 ","  78,367.38 ",C.B. Community Schools,09,EXEMPT,Non Profit
1820132,182013202,HUMAN SERVICES,CASA of Philadelphia,Human Services Department,Advocacy Services,7/1/2018,6/30/2019,90,"  300,000.00 ","  146,065.00 ",CASA of Philadelphia,09,EXEMPT,Non Profit
1720051,172005104,HUMAN SERVICES,"CHOR Youth & Family Services, Inc.",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  50,006.00 ","  29,924.32 ","CHOR Youth & Family Services, Inc.",09,EXEMPT,Non Profit
1720261,172026102,HUMAN SERVICES,COMMUNIPOWER II,Human Services Department,Youth Counseling,7/1/2018,6/30/2019,90,"  112,200.00 ","  48,113.00 ",COMMUNIPOWER II,01,ADVERTISED,For Profit
MPXX19000270,MPXX19000270,HUMAN SERVICES,Carol Cramer Brooks dba Juvenile Justice Associates,Miscellaneous Order,Suicide Prev Training,7/1/2018,6/30/2019,90,"  28,575.00 ","  16,868.75 ",Carol Cramer Brooks dba Juvenile Justice Associates,102,EXEMPT,For Profit
1720214,172021407,HUMAN SERVICES,Carson Valley Children's Aid,Human Services Department,Placement Services,7/1/2017,6/30/2019,90,"  20,336,247.43 ","  16,766,712.51 ",Carson Valley Children's Aid,09,EXEMPT,Non Profit
1720214,172021407,HUMAN SERVICES,Carson Valley Children's Aid,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  10,307,012.00 ","  6,438,433.31 ",Carson Valley Children's Aid,09,EXEMPT,Non Profit
1920038,1920038,HUMAN SERVICES,Carson Valley Children's Aid,Human Services Department,Rapid Service Response,7/1/2018,6/30/2019,90,"  2,000,000.00 ","  1,952,045.68 ",Carson Valley Children's Aid,09,EXEMPT,Non Profit
1920042,1920042,HUMAN SERVICES,Carson Valley Children's Aid,Human Services Department,Truancy Prevention,7/1/2018,6/30/2019,90,"  943,310.00 ","  545,848.00 ",Carson Valley Children's Aid,09,EXEMPT,Non Profit
1720079,172007902,HUMAN SERVICES,Catholic Social Services,Human Services Department,JJS Program Services,7/1/2018,6/30/2019,90,"  419,848.00 ","  95,135.00 ",Catholic Social Services,09,EXEMPT,Non Profit
1920100,1920100,HUMAN SERVICES,Catholic Social Services,Human Services Department,IOC CUA#4,7/1/2018,6/30/2019,90,"  6,767,866.06 ","  4,343,555.00 ",Catholic Social Services,09,EXEMPT,Non Profit
1920338,1920338,HUMAN SERVICES,Catholic Social Services,Human Services Department,Foster and Kinship Care,7/1/2018,6/30/2019,90,"  2,900,194.00 ","  1,393,367.59 ",Catholic Social Services,09,EXEMPT,Non Profit
1920349,192034901,HUMAN SERVICES,Catholic Social Services,Human Services Department,Congregate Care Services,7/1/2018,6/30/2019,90,"  20,146,505.00 ","  14,461,912.68 ",Catholic Social Services,09,EXEMPT,Non Profit
MPXX19000071,MPXX19000071,HUMAN SERVICES,Chapin Hall Center for Children,Miscellaneous Order,CANS/FAST Training,7/1/2018,6/30/2019,90,"  5,850.00 ",  -   ,Chapin Hall Center for Children,102,EXEMPT,Non Profit
1720050,172005005,HUMAN SERVICES,"Child First Services, Inc.",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  10,220,575.00 ","  6,944,371.66 ","Child First Services, Inc.",09,EXEMPT,Non Profit
1820285,182028501,HUMAN SERVICES,Child Guidance Resource Centers Inc,Human Services Department,PCIT Collateral,7/1/2018,6/30/2019,90,"  31,344.00 ",  -   ,Child Guidance Resource Centers Inc,09,EXEMPT,Non Profit
1720015,172001502,HUMAN SERVICES,Children's Choice Inc,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  7,447,372.00 ","  4,579,913.61 ",Children's Choice Inc,09,EXEMPT,Non Profit
1920310,1920310,HUMAN SERVICES,Children's Home of York,Human Services Department,Placement Services,9/11/2018,6/30/2019,90,"  18,372.00 ","  11,819.52 ",Children's Home of York,09,EXEMPT,Non Profit
1920004,1920004,HUMAN SERVICES,Children's Village,Human Services Department,Child Care Services,7/1/2018,6/30/2019,90,"  10,439.00 ",  -   ,Children's Village,01,ADVERTISED,Non Profit
1620431,162043103,HUMAN SERVICES,"Childspace Daycare Centers, Inc.",Human Services Department,Daycare Center,7/1/2018,6/30/2019,90,"  88,453.00 ","  32,917.90 ","Childspace Daycare Centers, Inc.",09,EXEMPT,Non Profit
1820239,182023902,HUMAN SERVICES,"Childway Pediatric Services, Inc.",Human Services Department,Placement,7/1/2018,6/30/2019,90,"  115,556.00 ","  62,703.90 ","Childway Pediatric Services, Inc.",09,EXEMPT,Non Profit
1820059,182005901,HUMAN SERVICES,Christ of Calvary Community Development Corp.,Human Services Department,Chaplaincy Services,7/1/2018,6/30/2019,90,"  50,000.00 ","  33,927.60 ",Christ of Calvary Community Development Corp.,09,EXEMPT,Non Profit
1920057,1920057,HUMAN SERVICES,Community Legal Services,Legal Services,Legal Services,7/1/2018,6/30/2019,90,"  400,000.00 ",  -   ,Community Legal Services,09,EXEMPT,Non Profit
1920043,1920043,HUMAN SERVICES,Community Specialist Corporation d/b/a The Academy,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  744,723.00 ","  114,214.76 ",Community Specialist Corporation d/b/a The Academy,09,EXEMPT,Non Profit
1720221,172022103,HUMAN SERVICES,"Computer Aid, Inc",Computer and Information Svcs,Staff Augmentation-IT,7/1/2018,6/30/2019,90,"  1,036,655.00 ","  687,770.81 ","Computer Aid, Inc",01,ADVERTISED,For Profit
1820193,182019302,HUMAN SERVICES,Concern Professional Service,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  851,695.00 ","  602,799.84 ",Concern Professional Service,09,EXEMPT,Non Profit
1720134,172013402,HUMAN SERVICES,Congreso De Latinos Unidos Inc,Human Services Department,Family Empowerment Serv,7/1/2018,6/30/2019,90,"  903,241.00 ","  540,428.00 ",Congreso De Latinos Unidos Inc,09,EXEMPT,Non Profit
1720228,172022802,HUMAN SERVICES,Congreso De Latinos Unidos Inc,Human Services Department,Community Support Program,7/1/2018,6/30/2019,90,"  160,000.00 ","  101,927.00 ",Congreso De Latinos Unidos Inc,09,EXEMPT,Non Profit
1820067,182006701,HUMAN SERVICES,Congreso De Latinos Unidos Inc,Human Services Department,Domestic Violence,7/1/2018,6/30/2019,90,"  222,000.00 ","  116,707.00 ",Congreso De Latinos Unidos Inc,09,EXEMPT,Non Profit
1820485,182048501,HUMAN SERVICES,Congreso De Latinos Unidos Inc,Human Services Department,Rapid Re-housing,7/1/2018,6/30/2019,90,"  160,000.00 ","  73,510.00 ",Congreso De Latinos Unidos Inc,09,EXEMPT,Non Profit
1920059,1920059,HUMAN SERVICES,Congreso De Latinos Unidos Inc,Human Services Department,Truancy Services,7/1/2018,6/30/2019,90,"  943,310.00 ","  501,114.00 ",Congreso De Latinos Unidos Inc,09,EXEMPT,Non Profit
1920039,1920039,HUMAN SERVICES,Cora Services Inc,Human Services Department,Truancy Prevention CUA#4,7/1/2018,6/30/2019,90,"  704,574.00 ","  444,745.00 ",Cora Services Inc,09,EXEMPT,Non Profit
1920044,1920044,HUMAN SERVICES,Cora Services Inc,Human Services Department,Intensive Prevention/VDP,7/1/2018,6/30/2019,90,"  846,076.00 ","  472,537.00 ",Cora Services Inc,09,EXEMPT,Non Profit
MPXX19000122,MPXX19000122,HUMAN SERVICES,Cora Services Inc,Miscellaneous Order,Psycho Educational Evals,7/1/2018,6/30/2019,90,"  30,000.00 ","  12,300.00 ",Cora Services Inc,102,EXEMPT,Non Profit
1720236,172023603,HUMAN SERVICES,"Cornell Abraxas Group, Inc.",Human Services Department,Institution/Reintergratio,7/1/2018,6/30/2019,90,"  592,320.00 ","  339,017.22 ","Cornell Abraxas Group, Inc.",01,ADVERTISED,For Profit
1720231,172023106,HUMAN SERVICES,Cornerstone Programs Corporation,Human Services Department,Counseling Services,7/1/2018,6/30/2019,90,"  100,000.00 ","  53,900.00 ",Cornerstone Programs Corporation,01,ADVERTISED,For Profit
1720034,172003402,HUMAN SERVICES,Council of Spanish Speaking Organizations Inc,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  2,265,175.00 ","  1,342,930.14 ",Council of Spanish Speaking Organizations Inc,09,EXEMPT,Non Profit
1720239,172023902,HUMAN SERVICES,Creative Arts For Everyone (CAFE),Human Services Department,Family Court Visitation,7/1/2018,6/30/2019,90,"  79,710.00 ","  56,516.00 ",Creative Arts For Everyone (CAFE),09,EXEMPT,Non Profit
1720089,172008902,HUMAN SERVICES,Defender Association of Philadelphia,Human Services Department,Teleconf/Moblie Outreach,7/1/2018,6/30/2019,90,"  271,101.00 ","  89,906.91 ",Defender Association of Philadelphia,09,EXEMPT,Non Profit
1720031,172003102,HUMAN SERVICES,"Delta Community Supports, Inc.",Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  7,855,429.00 ","  4,708,635.05 ","Delta Community Supports, Inc.",09,EXEMPT,Non Profit
1720010,172001005,HUMAN SERVICES,"Detectives, Private Investigators Inc., The",Human Services Department,Private Investigation Svs,7/1/2018,6/30/2019,90,"  600,000.00 ","  407,652.00 ","Detectives, Private Investigators Inc., The",01,ADVERTISED,For Profit
1720026,172002604,HUMAN SERVICES,Devereux Foundation,Human Services Department,Placement Services,7/1/2017,6/30/2019,90,"  14,962,091.21 ","  12,754,287.39 ",Devereux Foundation,09,EXEMPT,Non Profit
1720026,172002604,HUMAN SERVICES,Devereux Foundation,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  7,169,835.00 ","  5,141,358.10 ",Devereux Foundation,09,EXEMPT,Non Profit
1820202,182020202,HUMAN SERVICES,"Diversified Community Services, Inc",Human Services Department,Child Care,7/1/2017,6/30/2019,90,"  136,218.65 ","  96,320.40 ","Diversified Community Services, Inc",09,EXEMPT,Non Profit
1820202,182020202,HUMAN SERVICES,"Diversified Community Services, Inc",Human Services Department,Child Care,7/1/2018,6/30/2019,90,"  78,925.03 ","  17,396.25 ","Diversified Community Services, Inc",09,EXEMPT,Non Profit
1920076,1920076,HUMAN SERVICES,"Diversified Community Services, Inc",Human Services Department,Intensive Prevention,7/1/2018,6/30/2019,90,"  712,154.00 ","  457,654.00 ","Diversified Community Services, Inc",09,EXEMPT,Non Profit
1820388,182038801,HUMAN SERVICES,"Do What You""re Built For Foundation dba The Wellness and Re",Human Services Department,Psycho Educ Evaluations,7/1/2018,6/30/2019,90,"  75,000.00 ",  -   ,"Do What You""re Built For Foundation dba The Wellness and Re",01,ADVERTISED,Non Profit
1720283,172028303,HUMAN SERVICES,Eastern Software Strategies Inc,Computer and Information Svcs,Staff Augmentation-IT,7/1/2017,6/30/2019,90,"  2,261,240.00 ","  2,009,051.50 ",Eastern Software Strategies Inc,01,ADVERTISED,For Profit
1720283,172028305,HUMAN SERVICES,Eastern Software Strategies Inc,Computer and Information Svcs,Staff Augmentation - IT,7/1/2018,6/30/2019,90,"  1,334,992.00 ","  874,059.75 ",Eastern Software Strategies Inc,01,ADVERTISED,For Profit
1820153,182015301,HUMAN SERVICES,Eddie's House,Human Services Department,Family Group Decision Mak,7/1/2018,6/30/2019,90,"  200,000.00 ","  151,250.00 ",Eddie's House,01,ADVERTISED,Non Profit
1920064,1920064,HUMAN SERVICES,Educating Communities for Parenting,Human Services Department,Parenting Services,7/1/2018,6/30/2019,90,"  50,000.00 ","  29,163.00 ",Educating Communities for Parenting,09,EXEMPT,Non Profit
1920183,1920183,HUMAN SERVICES,"Ellison Group, The",Human Services Department,JJS Staff Development,7/1/2018,6/30/2019,90,"  45,000.00 ","  16,515.00 ","Ellison Group, The",01,ADVERTISED,For Profit
1720029,172002902,HUMAN SERVICES,Elwyn,Human Services Department,Placement Services,7/1/2018,6/30/2019,90,"  1,528,893.00 ",  -   ,Elwyn,09,EXEMPT,Non Profit
1720241,172024102,HUMAN SERVICES,Episcopal Comm Services of the Diocese of Pa,Human Services Department,FASST Housing,7/1/2018,6/30/2019,90,"  65,000.00 ","  52,000.00 ",Episcopal Comm Services of the Diocese of Pa,09,EXEMPT,Non Profit
1820184,182018402,HUMAN SERVICES,Family & Children's Aid Inc.,Human Services Department,Placement,7/1/2018,6/30/2019,90,"  104,638.00 ",  -   ,Family & Children's Aid Inc.,09,EXEMPT,Non Profit
1720203,172020302,HUMAN SERVICES,Family Support Services,Human Services Department,Family Empowerment,7/1/2018,6/30/2019,90,"  735,798.00 ","  312,991.00 ",Family Support Services,09,EXEMPT,Non Profit
1720226,172022604,HUMAN SERVICES,Family Support Services,Human Services Department,Family School,7/1/2018,6/30/2019,90,"  2,868,265.00 ","  346,989.44 ",Family Support Services,09,EXEMPT,Non Profit
MPXX19000127,MPXX19000127,HUMAN SERVICES,Felton Satterfield dba Satterfield Consulting,Miscellaneous Order,Training For JJS/YSC staf,7/1/2018,6/30/2019,90,"  31,640.00 ","  14,464.00 ",Felton Satterfield dba Satterfield Consulting,102,EXEMPT,For Profit
1820195,182019502,HUMAN SERVICES,Firely Pediatric Services,Human Services Department,Placement Services,7/1/2017,6/30/2019,90,"  175,560.00 ","  107,520.00 ",Firely Pediatric Services,06,EXEMPT,For Profit
