original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
1420147,1420147,FINANCE,"Law Offices of Stacey M Merkin, PC",Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,"Law Offices of Stacey M Merkin, PC"
1120042,112004205,FINANCE,"Lawton Associates, Inc.",General Consultant Services,Insurance & Risk Mgt Srvs,2013-07-01,2014-06-30,0,690000,689992,"Lawton Associates, Inc."
1320432,132043201,FINANCE,Lazard Freres & Co. LLC,General Consultant Services,Financial Advisor,2013-09-01,2014-08-31,62,0,0,Lazard Freres & Co. LLC
1420151,1420151,FINANCE,Margolis Edelstein,Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,Margolis Edelstein
1220298,122029802,FINANCE,Marshall Dennehey Warner Coleman & Goggin,Legal Services,Legal Services,2013-10-01,2014-09-30,92,500000,0,Marshall Dennehey Warner Coleman & Goggin
1420149,1420149,FINANCE,"Naples Law, LLP",Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,"Naples Law, LLP"
1320751,1320751,FINANCE,Public Financial Management Inc,General Consultant Services,Financial Svcs Consultant,2013-06-01,2014-05-31,0,200000,155172.5,Public Financial Management Inc
820428,820428,FINANCE,RBC Capital Markets,Investment Advisor-Manager,Remarketing Agent,2007-12-07,2031-08-01,6241,0,0,RBC Capital Markets
1420143,1420143,FINANCE,"Schaff & Young,  PC",Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,"Schaff & Young,  PC"
1420145,1420145,FINANCE,"Swartz Campbell, LLC",Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,"Swartz Campbell, LLC"
1420146,1420146,FINANCE,"The Chartwell Law Offices, LLP",Legal Services,Legal Services,2013-07-06,2014-06-30,0,500000,0,"The Chartwell Law Offices, LLP"
1120265,112026503,FINANCE,The Graham Company,General Consultant Services,Insurance Brokerage Srvs,2013-09-01,2014-08-31,62,229457,229457,The Graham Company
MPXX14000164,MPXX14000164,FINANCE,The Graham Company,Miscellaneous Order,Insurance Brokerage Srvs,2013-08-06,2014-06-30,0,3055.5,3055.5,The Graham Company
1320740,1320740,FINANCE,UNITARY,General Consultant Services,Broker PGW Sale,2013-05-01,2014-04-30,0,11340000,0,UNITARY
1320740,132074001,FINANCE,UNITARY,General Consultant Services,Broker PGW sale,2014-05-01,2015-04-30,304,2260000,0,UNITARY
1420088,1420088,FINANCE,"XEROX State & Local Solutions, Inc.",Computer and Information Svcs,Code Unit Violations Syst,2014-01-01,2014-06-30,0,706250,490815.64,"XEROX State & Local Solutions, Inc."
1220604,122060401,FIRE,"ABSG Consulting, Inc.",General Consultant Services,Contract Extension,2013-05-01,2014-04-30,0,7500,0,"ABSG Consulting, Inc."
1220583,122058301,FIRE,City of Scranton,Inter-Governmental Agreements,Contract Extension,2013-04-24,2014-04-23,0,5000,0,City of Scranton
1420341,1420341,FIRE,Deccan International,Computer and Information Svcs,GIS Software Application,2014-03-01,2015-02-28,243,530000,0,Deccan International
1220380,122038003,FIRE,"Intermedix Holdings, Inc. d/b/a Intermedix",General Consultant Services,Billing To and Collection,2014-02-01,2015-01-31,215,0,0,"Intermedix Holdings, Inc. d/b/a Intermedix"
MPXX14000284,MPXX14000284,FIRE,J.E.B. Environmental Services LLC,Miscellaneous Order,Haz Mat Training,2014-03-07,2014-06-30,0,8000,7472.95,J.E.B. Environmental Services LLC
1320413,132041301,FIRE,Manchester Township,Inter-Governmental Agreements,Memorandum of Agreement,2013-07-01,2014-06-30,0,2500,0,Manchester Township
1320524,132052401,FIRE,"Occupational Health Centers of the Southwest, PA",General Consultant Services,Contract Extension,2013-07-01,2014-06-30,0,0,0,"Occupational Health Centers of the Southwest, PA"
1220584,122058401,FIRE,Philadelphia Housing Authority,Inter-Governmental Agreements,Contract Extension,2013-05-03,2014-05-02,0,7500,0,Philadelphia Housing Authority
1220592,122059201,FIRE,START Rescue Training,General Consultant Services,Contract Extension,2013-04-24,2014-04-23,0,2500,0,START Rescue Training
MPXX14000381,MPXX14000381,FIRE,"Strategy Management Group, Inc.",Miscellaneous Order,Three Day Training,2014-04-11,2014-06-30,0,32000,32000,"Strategy Management Group, Inc."
1320500,132050001,FIRE,Tobyhanna Army Depot,Inter-Governmental Agreements,Contract Extension,2013-07-01,2014-06-30,0,2500,0,Tobyhanna Army Depot
1120000,112000003,FIRE,"University of Pennsylvania, Trustees of the",General Consultant Services,EMS Medical Director,2013-07-01,2014-06-30,0,129376,0,"University of Pennsylvania, Trustees of the"
MPXX14000364,MPXX14000364,FIRE,WithumSmith+Brown,Miscellaneous Order,EMS Grant Audit,2013-07-01,2014-06-30,0,15000,0,WithumSmith+Brown
MPXX14000303,MPXX14000303,FREE LIBRARY,Anthony Bannister,Miscellaneous Order,Library for the Blind,2014-01-01,2014-06-30,0,12000,9014.5,Anthony Bannister
MPXX14000393,MPXX14000393,FREE LIBRARY,"CPR/AED Public Awareness and Training Network, Inc",Miscellaneous Order,Training,2014-05-16,2014-06-30,0,550,0,"CPR/AED Public Awareness and Training Network, Inc"
MPXX14000394,MPXX14000394,FREE LIBRARY,Christopher Ridenhour,Miscellaneous Order,Training,2014-05-27,2014-06-30,0,1100,0,Christopher Ridenhour
1420246,1420246,FREE LIBRARY,Community Learning Center,General Consultant Services,Adult Literacy Intake,2013-08-01,2014-06-30,0,50000,50000,Community Learning Center
1420247,1420247,FREE LIBRARY,Congreso De Latinos Unidos Inc,General Consultant Services,Adult Literacy Intake,2013-08-01,2014-06-30,0,50000,50000,Congreso De Latinos Unidos Inc
MPXX14000307,MPXX14000307,FREE LIBRARY,Delaware Valley Assoc for the Education of Young Children,Miscellaneous Order,Training,2013-12-23,2014-06-30,0,4400,3350,Delaware Valley Assoc for the Education of Young Children
MPXX14000185,MPXX14000185,FREE LIBRARY,Drexel University,Miscellaneous Order,Leadership Dev Program,2013-08-22,2014-06-30,0,31940,7485,Drexel University
MPXX14000091,MPXX14000091,FREE LIBRARY,Friends of the Free Library of Philadelphia,Miscellaneous Order,Community Outreach,2013-07-01,2014-06-30,0,14000,13998,Friends of the Free Library of Philadelphia
MPXX14000304,MPXX14000304,FREE LIBRARY,Jeffrey Tate,Miscellaneous Order,Library for the Blind,2014-01-01,2014-06-30,0,12000,8618.5,Jeffrey Tate
MPXX14000401,MPXX14000401,FREE LIBRARY,June Garcia LLC,Miscellaneous Order,Training,2014-06-05,2014-06-30,0,4000,0,June Garcia LLC
MPXX14000329,MPXX14000329,FREE LIBRARY,Kelly Beh,Miscellaneous Order,Sign design/photoshop,2013-07-01,2014-06-30,0,2300,2300,Kelly Beh
MPXX14000234,MPXX14000234,FREE LIBRARY,"Library Connections, LLC",Miscellaneous Order,Workshops,2013-11-07,2014-06-30,0,850,850,"Library Connections, LLC"
MPXX14000334,MPXX14000334,FREE LIBRARY,Lighthouse Graphics LLC,Miscellaneous Order,Murals/window graphics,2013-07-01,2014-06-30,0,2548.5,2548.5,Lighthouse Graphics LLC
MPXX14000395,MPXX14000395,FREE LIBRARY,"Marie Amey-Taylor, Ed. D.",Miscellaneous Order,Training,2014-05-27,2014-06-30,0,1100,1100,"Marie Amey-Taylor, Ed. D."
1420134,1420134,FREE LIBRARY,"Osiris Group, Inc",General Consultant Services,Mkt & Communication Svcs,2013-07-01,2014-06-30,0,75000,75000,"Osiris Group, Inc"
MPXX14000351,MPXX14000351,FREE LIBRARY,Paul Trapido Interpretive Design LLC,Miscellaneous Order,Graphic Design Services,2014-03-01,2014-06-30,0,10000,1100,Paul Trapido Interpretive Design LLC
1320425,132042502,FREE LIBRARY,PeopleShare,General Consultant Services,Prof Dev & data mgmt svc,2013-07-01,2014-06-30,0,338581,295000,PeopleShare
1120394,112039405,FREE LIBRARY,"Personal Security Services, LLC",General Consultant Services,Cash Management,2014-01-01,2014-12-31,184,89520,0,"Personal Security Services, LLC"
1420248,1420248,FREE LIBRARY,Phila Hospital & Health Care 1199C Training & Upgrading Fund,General Consultant Services,Adult Literacy Intake,2013-08-01,2014-06-30,0,50000,50000,Phila Hospital & Health Care 1199C Training & Upgrading Fund
MPXX14000132,MPXX14000132,FREE LIBRARY,PhilaPOSH,Miscellaneous Order,Safety Training,2013-07-01,2014-06-30,0,3075,1972.5,PhilaPOSH
1320269,132026901,FREE LIBRARY,Project H O M E Inc,General Consultant Services,Restroom attendant Svc,2013-07-01,2014-06-30,0,63049,35046.32,Project H O M E Inc
MPXX14000400,MPXX14000400,FREE LIBRARY,TLR Concepts,Miscellaneous Order,Training,2014-06-05,2014-06-30,0,800,0,TLR Concepts
1320107,132010701,FREE LIBRARY,"Unique Management Services, Inc",General Consultant Services,Overdue Notice Mailing Sv,2013-07-01,2014-06-30,0,125000,88397.29,"Unique Management Services, Inc"
1420002,1420002,FREE LIBRARY,Verizon,Computer and Information Svcs,Wide Area Network Service,2013-07-01,2014-06-30,0,1037916,539420.68,Verizon
MPXX14000389,MPXX14000389,FREE LIBRARY,"eXperience HR, Inc",Miscellaneous Order,training,2014-04-24,2014-06-30,0,3600,0,"eXperience HR, Inc"
1320151,132015102,HEALTH,AIDS Law Project,Legal Services,Legal Services RWB 2014,2013-07-01,2014-06-30,0,57868,48124,AIDS Law Project
1320321,132032101,HEALTH,AIDS Law Project,Legal Services,Legal Services FY14 GF,2013-07-01,2014-06-30,0,78498,61073,AIDS Law Project
1320700,132070003,HEALTH,AIDS Law Project,Legal Services,RWA Legal Services,2014-03-01,2015-02-28,243,422453,63648,AIDS Law Project
1120332,112033203,HEALTH,AccessMatters,Health Department,STD Program,2013-12-01,2014-11-30,153,131334,0,AccessMatters
1320583,132058301,HEALTH,ActionAIDS Incorporated,Health Department,HIV Case Mgt System Navig,2013-07-01,2014-06-30,0,276076,128928,ActionAIDS Incorporated
1220438,122043802,HEALTH,Albert Einstein Healthcare Network,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,35000,11163,Albert Einstein Healthcare Network
1320701,132070101,HEALTH,Albert Einstein Healthcare Network,Health Department,RWA,2014-03-01,2015-02-28,243,228559,35245,Albert Einstein Healthcare Network
1420115,1420115,HEALTH,Albert Einstein Healthcare Network,Health Department,State 656 grant funds 14,2013-07-01,2014-06-30,0,30000,14251,Albert Einstein Healthcare Network
1420103,1420103,HEALTH,Albert Einstein Medical Center,Health Department,MSP - Perinatal Services,2013-07-01,2014-06-30,0,60000,53100,Albert Einstein Medical Center
1420136,1420136,HEALTH,"Alpha Medical Group, Ltd.",Health Department,Radiology Services,2013-07-01,2014-06-30,0,1443731,399743.31,"Alpha Medical Group, Ltd."
1220170,122017002,HEALTH,American Lung Association of Pennsylvania,Health Department,Operation of Flick Clinic,2013-07-01,2014-06-30,0,340760,215499.81,American Lung Association of Pennsylvania
MPXX14000054,MPXX14000054,HEALTH,Arthur Washburn Ph.D,Miscellaneous Order,Forensic Anthropology Svs,2013-07-01,2014-06-30,0,3000,1075,Arthur Washburn Ph.D
MPXX14000217,MPXX14000217,HEALTH,"Branch Associates, Inc.",Miscellaneous Order,Cessation Evaluation,2013-07-01,2014-06-30,0,5000,4086,"Branch Associates, Inc."
1320687,132068701,HEALTH,"CL Cressler, Inc.",Health Department,HIV AIDS Meds,2014-03-01,2014-04-30,0,125000,163281,"CL Cressler, Inc."
1320687,132068702,HEALTH,"CL Cressler, Inc.",Health Department,HIV AIDS MEDS extension,2014-05-01,2014-06-30,0,125000,0,"CL Cressler, Inc."
1220345,122034502,HEALTH,Children's Hospital of Philadelphia,Health Department,STATE PREVENTION 2014,2013-07-01,2014-06-30,0,78650,39325,Children's Hospital of Philadelphia
1220439,122043902,HEALTH,Children's Hospital of Philadelphia,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,299000,82331,Children's Hospital of Philadelphia
1320702,132070201,HEALTH,Children's Hospital of Philadelphia,Health Department,RWA,2014-03-01,2015-02-28,243,497807,0,Children's Hospital of Philadelphia
1420096,1420096,HEALTH,Children's Hospital of Philadelphia,Health Department,HIV Primary Care/Support,2013-07-01,2014-06-30,0,98865,35855.64,Children's Hospital of Philadelphia
1420367,1420367,HEALTH,Children's Hospital of Philadelphia,Health Department,Medical Director for DHS,2013-07-01,2014-06-30,0,100000,0,Children's Hospital of Philadelphia
1420382,1420382,HEALTH,Children's Hospital of Philadelphia,Health Department,CRCS HIV + HC1,2013-09-30,2014-06-30,0,48750,31362,Children's Hospital of Philadelphia
1420387,1420387,HEALTH,Children's Hospital of Philadelphia,Health Department,HIV PREVENTION PROGRAM,2014-01-01,2014-06-30,0,13410,1685,Children's Hospital of Philadelphia
1420394,1420394,HEALTH,Children's Hospital of Philadelphia,Health Department,Behavioral Surveillance,2014-01-01,2014-12-31,184,142577,0,Children's Hospital of Philadelphia
MPXX14000130,MPXX14000130,HEALTH,Clean Air Council,Miscellaneous Order,Clean Air Reports,2013-07-01,2014-06-30,0,26000,0,Clean Air Council
1320703,132070301,HEALTH,Clinical Care Assoc. of the Univ. of Penna. Health System,Health Department,RWA,2014-03-01,2015-02-28,243,58200,7111,Clinical Care Assoc. of the Univ. of Penna. Health System
1420401,1420401,HEALTH,Council of Spanish Speaking Organizations Inc,Health Department,DDC Outreach Workers,2013-12-01,2014-11-30,153,580000,230931.66,Council of Spanish Speaking Organizations Inc
1120652,112065203,HEALTH,"David A. Lopez and Company, LLC",Accounting and Auditing Svcs,Get Healthy Philly,2013-06-01,2014-05-31,0,12690,12690,"David A. Lopez and Company, LLC"
MPXX14000048,MPXX14000048,HEALTH,Dental Forensic Services of Indian Valley,Miscellaneous Order,Forensic Odontology Svs.,2013-07-01,2014-06-30,0,5500,4675,Dental Forensic Services of Indian Valley
MPXX14000055,MPXX14000055,HEALTH,"Dhody Osteological Consulting, LLC",Miscellaneous Order,Forensic Anthropology Svs,2013-07-01,2014-06-30,0,1000,525,"Dhody Osteological Consulting, LLC"
1320758,132075801,HEALTH,Drexel University,Health Department,Comm. Health Improvement,2014-01-01,2014-12-31,184,15000,27736,Drexel University
1420397,1420397,HEALTH,Drexel University,Health Department,Smoke Free Pub Housing,2013-10-01,2014-06-30,0,35000,0,Drexel University
1420411,1420411,HEALTH,Drexel University,Health Department,Training Needs Assesssmen,2013-12-01,2014-06-30,0,19808,0,Drexel University
1420419,1420419,HEALTH,Drexel University,Health Department,Salt reduction Media Eval,2013-09-30,2014-09-29,91,87928,0,Drexel University
1420102,1420102,HEALTH,"Dunbar Armored, Inc.",Health Department,Armored Cash Collection,2013-07-01,2014-06-30,0,40000,12289.83,"Dunbar Armored, Inc."
MPXX14000288,MPXX14000288,HEALTH,Easter Seals of Southeatern PA,Miscellaneous Order,Special Needs,2014-01-01,2014-06-30,0,4504,2305,Easter Seals of Southeatern PA
1320088,132008801,HEALTH,"Ellison Group, The",General Consultant Services,Human Resource Consultant,2013-07-01,2014-06-30,0,20000,14858.4,"Ellison Group, The"
MPXX14000289,MPXX14000289,HEALTH,Elwyn,Miscellaneous Order,Special Needs,2014-01-01,2014-06-30,0,1950,1187.98,Elwyn
1120057,112005703,HEALTH,"Fairmount Long Term Care, Inc",General Consultant Services,PNH Operations,2013-07-01,2014-06-30,0,37240831,31867781,"Fairmount Long Term Care, Inc"
MPXX14000071,MPXX14000071,HEALTH,Feldesman Tucker Leifer Fidell LLP,Miscellaneous Order,AHS FQHC Services,2013-07-01,2014-06-30,0,5000,3221.15,Feldesman Tucker Leifer Fidell LLP
MPXX14000040,MPXX14000040,HEALTH,GARRISON ENTERPRISES INC,Miscellaneous Order,DHD License & Maintenance,2013-07-01,2014-06-30,0,24000,24000,GARRISON ENTERPRISES INC
1420122,1420122,HEALTH,"General Healthcare Resources, Inc.",Health Department,NursingServices-Riverview,2013-07-01,2014-06-30,0,652311,445576.75,"General Healthcare Resources, Inc."
1420376,1420376,HEALTH,Greater Philadelphia Business Coalition on Health,Health Department,Value Based Insurance,2013-09-30,2014-09-29,91,30039,0,Greater Philadelphia Business Coalition on Health
1220101,122010102,HEALTH,"Group 6 Healthcare Consulting & Management, LLC",General Consultant Services,PNH Patient Care Monitor,2013-07-01,2014-06-30,0,110000,17715,"Group 6 Healthcare Consulting & Management, LLC"
1120121,112012103,HEALTH,Health Business Systems,Computer and Information Svcs,Pharmacy Mngt System,2013-07-01,2014-06-30,0,102880,69732.77,Health Business Systems
1120319,112031904,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,PCSI,2013-10-01,2014-09-30,92,667926,238839,"Health Federation of Philadelphia, Inc"
1120411,112041103,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,MOM Program,2013-07-01,2014-06-30,0,821020,624979,"Health Federation of Philadelphia, Inc"
1120483,112048303,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,HC1/HC5 Physicians,2013-07-01,2014-06-30,0,431493,264186,"Health Federation of Philadelphia, Inc"
1320101,132010101,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Support and Oversight,2013-07-01,2014-06-30,0,8166241,6922496,"Health Federation of Philadelphia, Inc"
1320244,132024403,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Get Healthy Philly,2013-07-01,2014-06-30,0,55000,48652,"Health Federation of Philadelphia, Inc"
1420138,1420138,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Fatality Review Program,2013-07-01,2014-06-30,0,516321,368665,"Health Federation of Philadelphia, Inc"
1420229,1420229,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Bioterrorism Training,2013-07-01,2014-06-30,0,72656,39537,"Health Federation of Philadelphia, Inc"
1420398,1420398,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,Get Healthy Philly,2013-10-01,2014-06-30,0,105000,83637,"Health Federation of Philadelphia, Inc"
1420402,1420402,HEALTH,"Health Federation of Philadelphia, Inc",Health Department,HPV Vaccination,2013-11-01,2014-10-31,123,127929,45952,"Health Federation of Philadelphia, Inc"
1220227,122022707,HEALTH,Health Promotion Council of SE Pa Inc,Health Department,MSA Enforcement,2013-10-01,2014-06-30,0,141243,102514,Health Promotion Council of SE Pa Inc
MPXX14000290,MPXX14000290,HEALTH,Health Promotion Council of SE Pa Inc,Miscellaneous Order,Special Needs,2014-01-01,2014-06-30,0,2165.3,0,Health Promotion Council of SE Pa Inc
MPXX14000399,MPXX14000399,HEALTH,Health Promotion Council of SE Pa Inc,Miscellaneous Order,Cancer Prevention,2014-04-15,2014-06-30,0,10000,0,Health Promotion Council of SE Pa Inc
MPXX14000131,MPXX14000131,HEALTH,"Heffler, Radetich & Saitta LLP",Miscellaneous Order,Title V Auditing Services,2013-07-01,2014-06-30,0,14460,0,"Heffler, Radetich & Saitta LLP"
1120060,112006003,HEALTH,Institute for Safe Families,Health Department,Family Violence Preventio,2013-07-01,2014-06-30,0,25000,12500,Institute for Safe Families
1320705,132070502,HEALTH,Kennedy University Hospital Inc,Health Department,RWA,2014-03-01,2015-02-28,243,685541,0,Kennedy University Hospital Inc
1220440,122044002,HEALTH,Kensington Hospital,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,65000,0,Kensington Hospital
1320706,132070601,HEALTH,Kensington Hospital,Health Department,RWA,2014-03-01,2015-02-28,243,151450,22651,Kensington Hospital
1320039,132003901,HEALTH,LaSalle University,Health Department,HIP Home Visiting,2013-07-01,2014-06-30,0,285000,206617,LaSalle University
MPXX14000050,MPXX14000050,HEALTH,"Linda Barbara Edelson-Slocum, DMD",Miscellaneous Order,Forensic Odontology Svs.,2013-07-01,2014-06-30,0,4000,850,"Linda Barbara Edelson-Slocum, DMD"
1220248,122024802,HEALTH,"Lucy B. Rorke-Adams, MD",Health Department,Forensic Neuropathology,2013-07-01,2014-06-30,0,50000,20500,"Lucy B. Rorke-Adams, MD"
MPXX14000034,MPXX14000034,HEALTH,"Luther Consulting, LLC",Miscellaneous Order,Evaluation Web Consult,2013-07-01,2014-06-30,0,9999.96,9999.96,"Luther Consulting, LLC"
1320631,132063103,HEALTH,MEE Productions Inc,Health Department,Outdoor Media Campaign,2013-10-01,2014-06-30,0,228522,189500.06,MEE Productions Inc
1420350,1420350,HEALTH,MEE Productions Inc,Health Department,Salt Reduction Media,2013-09-30,2014-09-29,91,390000,241330.24,MEE Productions Inc
1120120,112012004,HEALTH,"Mark W. Rovinski, CPA, LLC",Accounting and Auditing Svcs,Finanical Monitoring,2013-07-01,2014-06-30,0,64625,0,"Mark W. Rovinski, CPA, LLC"
1420470,1420470,HEALTH,Maternity Care Coalition,Health Department,Notheast MOMobile,2013-07-01,2014-06-30,0,70000,0,Maternity Care Coalition
1220472,122047202,HEALTH,Mazzoni Center,Health Department,Syphilis Surveillance,2014-02-01,2015-01-31,215,31680,0,Mazzoni Center
1220366,122036602,HEALTH,Mental Health  Association of Southeastern PA,Health Department,SAMSHA,2013-09-30,2014-09-29,91,382552,126199,Mental Health  Association of Southeastern PA
1220441,122044102,HEALTH,Mercy Catholic Medical Center,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,36000,3782,Mercy Catholic Medical Center
MPXX14000058,MPXX14000058,HEALTH,National Council for Prescription Drug Programs,Miscellaneous Order,Pharmacy Database,2013-07-01,2014-06-30,0,11405,11405,National Council for Prescription Drug Programs
1420120,142012001,HEALTH,National Nursing Centers Consortium,Health Department,Cross Program Data Mgr,2013-07-01,2014-06-30,0,70484,31415,National Nursing Centers Consortium
1420525,1420525,HEALTH,"Online Solutions, LLC",Computer and Information Svcs,Web-based software system,2014-03-28,2015-03-27,270,98000,0,"Online Solutions, LLC"
MPXX14000286,MPXX14000286,HEALTH,Pegasus Riding Academy,Miscellaneous Order,Special Needs,2014-01-01,2014-06-30,0,3000,1002.99,Pegasus Riding Academy
MPXX14000285,MPXX14000285,HEALTH,"Pennsylvania Council of Children, Youth and Family Services",Miscellaneous Order,Special Needs,2014-01-01,2014-06-30,0,2500,0,"Pennsylvania Council of Children, Youth and Family Services"
MPXX14000345,MPXX14000345,HEALTH,Pennsylvania Health Law Project,Miscellaneous Order,Universal Health Care,2013-07-01,2014-06-30,0,25000,0,Pennsylvania Health Law Project
1220300,122030002,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,STATE PREVENTION 2014,2013-07-01,2014-06-30,0,86793,39459,Phila Health & Education Corp dba Drexel Univ Coll of Med
1220367,122036702,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,SAMSHA,2013-09-30,2014-09-29,91,552367,262539,Phila Health & Education Corp dba Drexel Univ Coll of Med
1220443,122044302,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,55000,14620,Phila Health & Education Corp dba Drexel Univ Coll of Med
1220444,122044402,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,120000,33782,Phila Health & Education Corp dba Drexel Univ Coll of Med
1320630,132063001,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,Pediatric TB Clinic,2013-07-01,2014-06-30,0,65450,18770.02,Phila Health & Education Corp dba Drexel Univ Coll of Med
1320707,132070702,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,RWA,2014-03-01,2015-02-28,243,1091775,0,Phila Health & Education Corp dba Drexel Univ Coll of Med
1320708,132070801,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,RWA,2014-03-01,2015-02-28,243,356435,0,Phila Health & Education Corp dba Drexel Univ Coll of Med
1420154,1420154,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,RWB Health Education,2013-07-01,2014-06-30,0,124204,93152,Phila Health & Education Corp dba Drexel Univ Coll of Med
1420207,1420207,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,HCC Prenatal Services,2013-07-01,2014-06-30,0,596840,188608.25,Phila Health & Education Corp dba Drexel Univ Coll of Med
1420395,1420395,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Health Department,Behavioral Surveillance,2014-01-01,2014-12-31,184,138777,0,Phila Health & Education Corp dba Drexel Univ Coll of Med
MPXX14000033,MPXX14000033,HEALTH,Phila Health & Education Corp dba Drexel Univ Coll of Med,Miscellaneous Order,Histotechnology Services,2013-07-01,2014-06-30,0,30000,14712,Phila Health & Education Corp dba Drexel Univ Coll of Med
1220594,122059402,HEALTH,Philadelphia Housing Authority,Health Department,Smoke-Free Public Housing,2013-09-30,2014-09-29,91,100000,0,Philadelphia Housing Authority
1220442,122044202,HEALTH,Presbyterian Medical Center of the Univ of Penn Health Sys,Health Department,CDC Prevention 2014,2014-01-01,2014-12-31,184,68923,20992,Presbyterian Medical Center of the Univ of Penn Health Sys
1320709,132070901,HEALTH,Presbyterian Medical Center of the Univ of Penn Health Sys,Health Department,RWA,2014-03-01,2015-02-28,243,288539,0,Presbyterian Medical Center of the Univ of Penn Health Sys
1420537,1420537,HEALTH,Prevention Point Philadelphia,Health Department,General Fund Prevention,2013-07-01,2014-06-30,0,111425,0,Prevention Point Philadelphia
1120416,112041604,HEALTH,"Public Health Foundation Enterprises, Inc. (dba PHFE Mgmnt)",Computer and Information Svcs,EHR Project,2014-01-01,2014-12-31,184,931200,72514.5,"Public Health Foundation Enterprises, Inc. (dba PHFE Mgmnt)"
1120350,112035003,HEALTH,Public Health Management Corporation,Health Department,Epi & Lab Capacity,2013-12-01,2014-11-30,153,343436,93211,Public Health Management Corporation
1120377,112037703,HEALTH,Public Health Management Corporation,Health Department,KIDS Immunization,2013-12-01,2014-11-30,153,1224909,0,Public Health Management Corporation
1220073,122007303,HEALTH,Public Health Management Corporation,Health Department,MIS STAFFING,2013-06-01,2014-06-30,0,511608.44,172901.1,Public Health Management Corporation
1220120,122012002,HEALTH,Public Health Management Corporation,Health Department,Bioterrorism,2013-07-01,2014-06-30,0,1103647,813231,Public Health Management Corporation
1220216,122021607,HEALTH,Public Health Management Corporation,Health Department,MSA Tobacco,2013-10-01,2014-06-30,0,90934,49460,Public Health Management Corporation
1220283,122028302,HEALTH,Public Health Management Corporation,General Consultant Services,AMS IT Staff Support,2013-07-01,2014-06-30,0,640769,383529,Public Health Management Corporation
1220392,122039202,HEALTH,Public Health Management Corporation,Health Department,Immunization Education,2013-12-01,2014-11-30,153,1227537,0,Public Health Management Corporation
1220425,122042502,HEALTH,Public Health Management Corporation,Health Department,Home Remediation work,2013-12-01,2014-11-30,153,945000,38886.14,Public Health Management Corporation
1220506,122050603,HEALTH,Public Health Management Corporation,Health Department,Get Healthy Philly,2013-09-30,2014-09-29,91,63999,21476,Public Health Management Corporation
1220551,122055102,HEALTH,Public Health Management Corporation,Health Department,Immunization Spec Project,2014-01-01,2014-12-31,184,62756,0,Public Health Management Corporation
1320093,132009302,HEALTH,Public Health Management Corporation,Health Department,AHS Mammography Support,2013-07-01,2014-06-30,0,214159,161976,Public Health Management Corporation
1320148,132014801,HEALTH,Public Health Management Corporation,Health Department,DDC Director,2013-07-01,2014-06-30,0,218297,108915,Public Health Management Corporation
1320412,132041201,HEALTH,Public Health Management Corporation,Health Department,Refugee Mgr and Epi Spec,2013-07-01,2014-06-30,0,143922,78868,Public Health Management Corporation
1320414,132041403,HEALTH,Public Health Management Corporation,Health Department,Get Healthy Philly Staff,2013-07-01,2014-06-30,0,213213,136707,Public Health Management Corporation
1320600,132060001,HEALTH,Public Health Management Corporation,Health Department,STD DIS,2013-12-01,2014-11-30,153,1156994,28681,Public Health Management Corporation
1320643,132064302,HEALTH,Public Health Management Corporation,Health Department,CDC Surveillance C&I/Beh,2014-01-01,2014-12-31,184,1500000,182126,Public Health Management Corporation
