original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status,
1520548,152054801,DIVISION OF TECHNOLOGY,"Citymart US, Inc.",Computer and Information Svcs,Partnership Project Plan,5/31/2016,5/30/2017,333,0,0,"Citymart US, Inc.",3,EXEMPT,For Profit,
1520549,1520549,DIVISION OF TECHNOLOGY,Cogsdale Corporation,Computer and Information Svcs,FAMIS/Performance System,6/1/2015,5/31/2016,0,128772,128772,Cogsdale Corporation,1,ADVERTISED,For Profit,
1520549,152054901,DIVISION OF TECHNOLOGY,Cogsdale Corporation,Computer and Information Svcs,FAMIS/Performance System,6/1/2016,5/31/2017,334,132636,0,Cogsdale Corporation,1,ADVERTISED,For Profit,
1620341,1620341,DIVISION OF TECHNOLOGY,"Computerized Facility Integration, LLC",Computer and Information Svcs,Integrated Asset Mgmt Sys,12/1/2015,11/30/2016,152,870504,182339.75,"Computerized Facility Integration, LLC",1,ADVERTISED,For Profit,
1520392,152039202,DIVISION OF TECHNOLOGY,"Data-Core Systems, Inc.",Computer and Information Svcs,Revenue MeF Support/Maint,11/1/2015,10/31/2016,122,161600,69915,"Data-Core Systems, Inc.",1,ADVERTISED,For Profit,
1620405,1620405,DIVISION OF TECHNOLOGY,"Data-Core Systems, Inc.",Computer and Information Svcs,RAMsys - BI/DW Solution,4/1/2016,3/31/2017,273,1000000,104043.2,"Data-Core Systems, Inc.",1,ADVERTISED,For Profit,
MPXX16000258,MPXX16000258,DIVISION OF TECHNOLOGY,"Data-Core Systems, Inc.",Miscellaneous Order,Hotel Tax Enhancements,11/3/2015,6/30/2016,0,5480,2635,"Data-Core Systems, Inc.",102,EXEMPT,For Profit,
1520557,152055701,DIVISION OF TECHNOLOGY,"Decisive Business Systems Acquisition, LLC",Computer and Information Svcs,Project Management Suppor,6/1/2015,5/31/2016,0,124800,63240,"Decisive Business Systems Acquisition, LLC",1,ADVERTISED,For Profit,
MPXX16000307,MPXX16000307,DIVISION OF TECHNOLOGY,"Department of Better Technology, Inc.",Miscellaneous Order,Improve Big Ideas PHL,12/30/2015,6/30/2016,0,32000,31999,"Department of Better Technology, Inc.",102,EXEMPT,For Profit,
1520368,152036801,DIVISION OF TECHNOLOGY,EMA Inc.,Computer and Information Svcs,IBM Tivoli Maximo Support,12/1/2015,11/30/2016,152,150000,1270,EMA Inc.,1,ADVERTISED,For Profit,
1320566,132056604,DIVISION OF TECHNOLOGY,"Engility, LLC",Computer and Information Svcs,Computer Forensics,12/15/2015,12/14/2016,166,50000,0,"Engility, LLC",1,ADVERTISED,For Profit,
1120467,112046708,DIVISION OF TECHNOLOGY,Equinoxys Inc,Computer and Information Svcs,Oracle HRIS Consulting,10/1/2015,2/3/2017,217,482000,69220,Equinoxys Inc,1,ADVERTISED,For Profit,
1520325,152032502,DIVISION OF TECHNOLOGY,"Essential Management Solutions, LLC",Computer and Information Svcs,911 Wireline/Wireless,10/1/2015,9/30/2016,91,669100,516842.5,"Essential Management Solutions, LLC",1,ADVERTISED,For Profit,
1320598,132059802,DIVISION OF TECHNOLOGY,"Fairfax Imaging, Inc.",Computer and Information Svcs,New Cashiering System,1/1/2016,12/31/2016,183,24600,0,"Fairfax Imaging, Inc.",1,ADVERTISED,For Profit,
MPXX16000308,MPXX16000308,DIVISION OF TECHNOLOGY,Ianncomm LLC dba Message Agency,Miscellaneous Order,Marketing and Outreach,12/30/2015,6/30/2016,0,10000,5000,Ianncomm LLC dba Message Agency,102,EXEMPT,For Profit,
1620162,1620162,DIVISION OF TECHNOLOGY,"Information Consulting Services of Delaware Valley, Inc",Computer and Information Svcs,Basis2 Water Billing Mgmt,10/25/2015,10/24/2016,115,503000,240432,"Information Consulting Services of Delaware Valley, Inc",1,ADVERTISED,For Profit,
1320591,132059104,DIVISION OF TECHNOLOGY,"Information Services Partner, Inc.",Computer and Information Svcs,TIPS Prog & Consulting,7/1/2015,6/30/2016,0,652872,568739.11,"Information Services Partner, Inc.",1,ADVERTISED,For Profit,
1420291,142029102,DIVISION OF TECHNOLOGY,"Information Services Partner, Inc.",Computer and Information Svcs,Basis2 Prog & Consulting,7/1/2015,6/30/2016,0,289170,203607.5,"Information Services Partner, Inc.",1,ADVERTISED,For Profit,
1420384,142038403,DIVISION OF TECHNOLOGY,"Information Services Partner, Inc.",Computer and Information Svcs,ACIS/eContract Maintenanc,1/1/2016,12/31/2016,183,250000,0,"Information Services Partner, Inc.",1,ADVERTISED,For Profit,
1220176,122017605,DIVISION OF TECHNOLOGY,J & B Software,Computer and Information Svcs,Transaction Mgmt System,1/28/2016,6/27/2016,0,24662,0,J & B Software,1,ADVERTISED,For Profit,
1220176,122017606,DIVISION OF TECHNOLOGY,J & B Software,Computer and Information Svcs,Transaction Mgmt System,6/28/2016,9/27/2016,88,13564,0,J & B Software,1,ADVERTISED,For Profit,
1520427,152042701,DIVISION OF TECHNOLOGY,"Johnson, Mirmiran & Thompson",Computer and Information Svcs,Replace GPIS-ROWCoordinat,11/17/2015,11/16/2016,138,55000,44000,"Johnson, Mirmiran & Thompson",1,ADVERTISED,For Profit,
1120572,112057207,DIVISION OF TECHNOLOGY,"Keystone Computer Associates, Inc.",Computer and Information Svcs,Staff Augmentation,11/30/2015,5/29/2016,0,0,4160,"Keystone Computer Associates, Inc.",1,ADVERTISED,For Profit,
1620027,1620027,DIVISION OF TECHNOLOGY,Knowledge Solutions International,Computer and Information Svcs,Citywide IT Training,7/1/2015,6/30/2016,0,100000,0,Knowledge Solutions International,1,ADVERTISED,For Profit,
1620056,1620056,DIVISION OF TECHNOLOGY,LockWorks LLC,Computer and Information Svcs,Lock and Track Maintenanc,7/1/2015,6/30/2016,0,189000,165450,LockWorks LLC,1,ADVERTISED,For Profit,
1120573,112057308,DIVISION OF TECHNOLOGY,M F R Consultants Inc.,Computer and Information Svcs,Staff Augmentation,11/30/2015,5/29/2016,0,0,101600,M F R Consultants Inc.,1,ADVERTISED,For Profit,
1220427,122042706,DIVISION OF TECHNOLOGY,"MetaSource, LLC",Computer and Information Svcs,City Scanning Services,2/29/2016,8/31/2016,61,0,80037.65,"MetaSource, LLC",1,ADVERTISED,For Profit,
1420444,142044401,DIVISION OF TECHNOLOGY,"Michael Anthony Associates, Inc.",Computer and Information Svcs,Pension Staff Augmentatio,5/1/2015,4/30/2016,0,225000,197524.5,"Michael Anthony Associates, Inc.",1,ADVERTISED,For Profit,
1420444,142044402,DIVISION OF TECHNOLOGY,"Michael Anthony Associates, Inc.",Computer and Information Svcs,Pension Staff Augmentatio,5/1/2016,4/30/2017,303,225000,0,"Michael Anthony Associates, Inc.",1,ADVERTISED,For Profit,
1120574,112057408,DIVISION OF TECHNOLOGY,Modis,Computer and Information Svcs,Staff Augmentation,11/30/2015,5/29/2016,0,0,54000,Ajilon LLC dba Ajilon Consulting,1,ADVERTISED,For Profit,
MPXX16000291,MPXX16000291,DIVISION OF TECHNOLOGY,Natalie Lucas,Miscellaneous Order,Online Course Development,12/9/2015,6/30/2016,0,11000,5500,Natalie Lucas,102,EXEMPT,For Profit,
1420351,142035103,DIVISION OF TECHNOLOGY,Official Payments Corp.,Computer and Information Svcs,ePay Processing System,12/1/2015,11/30/2016,152,0,0,Official Payments Corp.,1,ADVERTISED,For Profit,
1620026,1620026,DIVISION OF TECHNOLOGY,OnLine Consulting,Computer and Information Svcs,Citywide IT Training,7/1/2015,6/30/2016,0,100000,30993.5,OnLine Consulting,1,ADVERTISED,For Profit,
1520495,1520495,DIVISION OF TECHNOLOGY,Peripheral Systems Inc.,Computer and Information Svcs,basis2 Documentation,4/25/2015,4/24/2016,0,67000,68019.05,Peripheral Systems Inc.,1,ADVERTISED,For Profit,
1520495,152049501,DIVISION OF TECHNOLOGY,Peripheral Systems Inc.,Computer and Information Svcs,basis2 Documentation,4/25/2016,4/24/2017,297,67000,0,Peripheral Systems Inc.,1,ADVERTISED,For Profit,
MPXX16000210,MPXX16000210,DIVISION OF TECHNOLOGY,Peripheral Systems Inc.,Miscellaneous Order,Combined Campaign,7/1/2015,6/30/2016,0,15000,9779.86,Peripheral Systems Inc.,102,EXEMPT,For Profit,
1620343,1620343,DIVISION OF TECHNOLOGY,"Periscope Holdings, Inc",Computer and Information Svcs,Procurement System Mod,5/2/2016,5/1/2017,304,1411631,0,"Periscope Holdings, Inc",1,ADVERTISED,For Profit,
1220457,122045704,DIVISION OF TECHNOLOGY,Pictometry International Corp.,Computer and Information Svcs,Digital Orthographic Imag,2/29/2016,8/28/2016,58,0,480720.89,Pictometry International Corp.,1,ADVERTISED,For Profit,
1620423,1620423,DIVISION OF TECHNOLOGY,Pictometry International Corp.,Computer and Information Svcs,Digital Aerial Imagery,2/29/2016,2/28/2017,242,81715,0,Pictometry International Corp.,1,ADVERTISED,For Profit,
1420261,142026102,DIVISION OF TECHNOLOGY,Priority Dispatch Corp,Computer and Information Svcs,EMS/911 Call Priorities,8/12/2015,8/11/2016,41,0,0,Priority Dispatch Corp,1,ADVERTISED,For Profit,
1520494,1520494,DIVISION OF TECHNOLOGY,Prophecy Americas Inc,Computer and Information Svcs,basis2 Software Consultin,4/25/2015,4/24/2016,0,185000,438604.25,Prophecy Americas Inc,1,ADVERTISED,For Profit,
1520494,152049401,DIVISION OF TECHNOLOGY,Prophecy Americas Inc,Computer and Information Svcs,basis2 Software Consultin,10/1/2015,4/24/2017,297,985000,0,Prophecy Americas Inc,1,ADVERTISED,For Profit,
1520496,152049601,DIVISION OF TECHNOLOGY,Prophecy Americas Inc,Computer and Information Svcs,Basis2 Maintenance,3/10/2016,3/9/2017,251,405000,0,Prophecy Americas Inc,1,ADVERTISED,For Profit,
1620001,162000101,DIVISION OF TECHNOLOGY,"RCC Consultants, Inc.",Computer and Information Svcs,Radio System Consulting,7/1/2015,6/30/2016,0,304521,0,"RCC Consultants, Inc.",1,ADVERTISED,For Profit,
1520467,152046702,DIVISION OF TECHNOLOGY,"Revenue Solutions, Inc.",Computer and Information Svcs,Tax Delinquency Data,2/2/2015,2/1/2017,215,5142232,2951344,"Revenue Solutions, Inc.",1,ADVERTISED,For Profit,
MPXX16000167,MPXX16000167,DIVISION OF TECHNOLOGY,Route Smart Technologies,Miscellaneous Order,Software Support,7/1/2015,6/30/2016,0,13375,13375,Route Smart Technologies,102,EXEMPT,For Profit,
1620349,1620349,DIVISION OF TECHNOLOGY,Science Applications International Corporation,Computer and Information Svcs,Integrated Jail Mgmt Syst,3/1/2016,2/28/2018,607,6689343.92,288339.16,Science Applications International Corporation,1,ADVERTISED,For Profit,
1120626,112062608,DIVISION OF TECHNOLOGY,Smart Information Management Systems Inc.,Computer and Information Svcs,Staff Augmentation,11/30/2015,5/29/2016,0,250000,122154.63,Smart Information Management Systems Inc.,1,ADVERTISED,For Profit,
1120626,112062609,DIVISION OF TECHNOLOGY,Smart Information Management Systems Inc.,Computer and Information Svcs,IT Staff Augmentation,5/30/2016,11/30/2016,152,0,0,Smart Information Management Systems Inc.,1,ADVERTISED,For Profit,
1320761,132076102,DIVISION OF TECHNOLOGY,Spider Networks Inc,Computer and Information Svcs,Basis2 SW Consulting,6/5/2015,6/4/2016,0,210000,175102,Spider Networks Inc,1,ADVERTISED,For Profit,
1320761,132076103,DIVISION OF TECHNOLOGY,Spider Networks Inc,Computer and Information Svcs,Basis2 SW Consulting,6/5/2016,6/4/2017,338,216000,0,Spider Networks Inc,1,ADVERTISED,For Profit,
1520555,1520555,DIVISION OF TECHNOLOGY,Starpoint Solutions LLC,Computer and Information Svcs,basis2 Lead Programmer,6/1/2015,5/31/2016,0,372000,354408,Starpoint Solutions LLC,1,ADVERTISED,For Profit,
MPXX16000306,MPXX16000306,DIVISION OF TECHNOLOGY,Temple University,Miscellaneous Order,Traffic Safety,12/28/2015,6/30/2016,0,31910,31910,Temple University,102,EXEMPT,Non Profit,
1220577,122057703,DIVISION OF TECHNOLOGY,The Athenaeum of Philadelphia,Computer and Information Svcs,City Scanning Services,5/18/2015,5/17/2016,0,20000,0,The Athenaeum of Philadelphia,1,ADVERTISED,Non Profit,
1420087,142008703,DIVISION OF TECHNOLOGY,UNITARY,Computer and Information Svcs,Plan & Solution Architect,11/1/2015,10/31/2016,122,900000,70323.75,UNITARY,1,ADVERTISED,unknown,
1620155,1620155,DIVISION OF TECHNOLOGY,UNITARY,Computer and Information Svcs,IT Staff Augmentation,11/1/2015,10/31/2016,122,2000000,64557.25,UNITARY,1,ADVERTISED,unknown,
1420393,142039302,DIVISION OF TECHNOLOGY,Unisys  Corporation,Computer and Information Svcs,Philly311 CRM Solution,12/27/2015,12/26/2016,178,687826.64,610241.92,Unisys  Corporation,1,ADVERTISED,For Profit,
1320659,1320659,DIVISION OF TECHNOLOGY,West Publishing Corporation  d/b/a West Group,Computer and Information Svcs,Online Legal Services,5/1/2013,4/30/2017,303,2281702,1281829.51,West Publishing Corporation  d/b/a West Group,1,ADVERTISED,For Profit,
MPXX16000017,MPXX16000017,FINANCE,A J Fanelli,Miscellaneous Order,Hearing Master,7/1/2015,6/30/2016,0,21000,19000,A J Fanelli,102,EXEMPT,For Profit,
1420141,142014102,FINANCE,"A V International, Inc.",General Consultant Services,Insurance Brokerage Srvs,7/1/2015,6/30/2016,0,42500,42500,"A V International, Inc.",1,ADVERTISED,For Profit,
MPXX16000358,MPXX16000358,FINANCE,"A V International, Inc.",Miscellaneous Order,Insurance Brokerage Srvs,4/8/2016,6/30/2016,0,6400,6400,"A V International, Inc.",102,EXEMPT,For Profit,
1420150,142015002,FINANCE,Ahmad Zaffarese LLC,Legal Services,Legal Services,9/1/2015,8/31/2016,61,500000,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit,
1420142,142014202,FINANCE,"Aon Risk Services Central, Inc.",General Consultant Services,Actuarial Services,7/1/2015,6/30/2016,0,32576,32575,"Aon Risk Services Central, Inc.",1,ADVERTISED,For Profit,
MPXX16000351,MPXX16000351,FINANCE,"Baer Corwin Insurance Agency, Inc.",Miscellaneous Order,Insurance Brokerage Servs,3/19/2016,6/30/2016,0,468.8,468.8,"Baer Corwin Insurance Agency, Inc.",102,EXEMPT,For Profit,
1620193,1620193,FINANCE,"Bennett, Bricklin & Saltzburg LLC",Legal Services,Legal Services,10/1/2015,9/30/2016,91,500000,0,"Bennett, Bricklin & Saltzburg LLC",1,ADVERTISED,For Profit,
MPXX16000073,MPXX16000073,FINANCE,Bradley & Bradley Associates,Miscellaneous Order,Insurance Brokerage Srvs,7/2/2015,6/30/2016,0,4013,4013,Bradley & Bradley Associates,102,EXEMPT,For Profit,
MPXX16000200,MPXX16000200,FINANCE,Bradley & Bradley Associates,Miscellaneous Order,Insurance Brokerage Srvs,9/14/2015,6/30/2016,0,10254,10253.5,Bradley & Bradley Associates,102,EXEMPT,For Profit,
1420327,142032704,FINANCE,CGI Technologies and Solutions Inc.,Computer and Information Svcs,Budget Formulation System,3/17/2016,3/16/2017,258,363036,0,CGI Technologies and Solutions Inc.,1,ADVERTISED,For Profit,
MPXX16000016,MPXX16000016,FINANCE,"Carmine D'Alessandro, C.G.F.M.",Miscellaneous Order,Hearing Master,7/1/2015,6/30/2016,0,32000,32000,"Carmine D'Alessandro, C.G.F.M.",102,EXEMPT,For Profit,
1520055,152005501,FINANCE,"Comp Services, Inc.",General Consultant Services,Employee Disability Progr,7/1/2015,6/30/2016,0,6150000,5374135.32,"Comp Services, Inc.",1,ADVERTISED,For Profit,
1420020,142002002,FINANCE,"Curley Adjustment Bureau, Inc.",General Consultant Services,Subrogation & Claims Srvs,7/1/2015,6/30/2016,0,150000,26633.83,"Curley Adjustment Bureau, Inc.",1,ADVERTISED,For Profit,
1420405,142040502,FINANCE,"David Donn Consulting, Inc.",General Consultant Services,WC Managed Care Consultan,1/1/2016,12/31/2016,183,0,29538.73,"David Donn Consulting, Inc.",1,ADVERTISED,For Profit,
MPXX16000015,MPXX16000015,FINANCE,Dominic Cermele,Miscellaneous Order,Hearing Master,7/1/2015,6/30/2016,0,18000,14000,Dominic Cermele,102,EXEMPT,For Profit,
1320354,132035403,FINANCE,Factory Mutual Insurance Company,General Consultant Services,Blanket Property Insuranc,8/1/2015,7/31/2016,30,0,0,Factory Mutual Insurance Company,1,ADVERTISED,For Profit,
1420587,142058701,FINANCE,"Future Technology Associates, LLC.",General Consultant Services,Training services,6/28/2015,6/27/2016,0,250000,0,"Future Technology Associates, LLC.",1,ADVERTISED,For Profit,
1420144,142014402,FINANCE,"Gallagher & Turchi, P.C.",Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,"Gallagher & Turchi, P.C.",1,ADVERTISED,For Profit,
MPXX16000100,MPXX16000100,FINANCE,"Gallagher Benefit Services, Inc.",Miscellaneous Order,Insurance Brokerage Srvs,7/21/2015,6/30/2016,0,2300,2300,"Gallagher Benefit Services, Inc.",102,EXEMPT,For Profit,
MPXX16000309,MPXX16000309,FINANCE,Haas & Wilkerson Insurance,Miscellaneous Order,Insurance Brokerage Srvs,1/4/2016,6/30/2016,0,1286.25,1286.25,Haas & Wilkerson Insurance,102,EXEMPT,For Profit,
1320584,132058403,FINANCE,"Howarth Occupational and Environmental Consulting, P.C.",General Consultant Services,Medical Director,7/1/2015,6/30/2016,0,150000,149750,"Howarth Occupational and Environmental Consulting, P.C.",1,ADVERTISED,For Profit,
1520558,1520558,FINANCE,IHS Global Inc.,General Consultant Services,Economic Forecasting Srvs,5/21/2015,5/20/2016,0,45390,45390,IHS Global Inc.,1,ADVERTISED,For Profit,
1520558,152055801,FINANCE,IHS Global Inc.,General Consultant Services,Economic Forecasting Srvs,5/21/2016,5/20/2017,323,45390,0,IHS Global Inc.,1,ADVERTISED,For Profit,
MPXX16000032,MPXX16000032,FINANCE,John Corlies,Miscellaneous Order,FAMIS Consultant,7/1/2015,6/30/2016,0,32000,32000,John Corlies,102,EXEMPT,For Profit,
1420412,142041202,FINANCE,Kauffman Accounting Services,General Consultant Services,Business Subject Matter,1/1/2016,12/31/2016,183,0,12161.24,Kauffman Accounting Services,1,ADVERTISED,For Profit,
1420413,142041302,FINANCE,Kevin O'Hagan,General Consultant Services,Business Subject Matter,1/1/2016,12/31/2016,183,0,20490,Kevin O'Hagan,1,ADVERTISED,For Profit,
1520013,152001301,FINANCE,"Lawton Associates, Inc.",General Consultant Services,Ins & Risk Mgt Services,7/1/2015,6/30/2016,0,850000,850000,"Lawton Associates, Inc.",1,ADVERTISED,For Profit,
1420151,142015102,FINANCE,Margolis Edelstein,Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,Margolis Edelstein,1,ADVERTISED,For Profit,
1620194,1620194,FINANCE,Marshall Dennehey Warner Coleman & Goggin,Legal Services,Legal Services,10/1/2015,9/30/2016,91,500000,0,Marshall Dennehey Warner Coleman & Goggin,1,ADVERTISED,For Profit,
1420147,142014702,FINANCE,"Merkin Shotland, PC",Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,"Merkin Shotland, PC",1,ADVERTISED,For Profit,
1420149,142014902,FINANCE,"Naples Law, LLP",Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,"Naples Law, LLP",1,ADVERTISED,For Profit,
1620195,1620195,FINANCE,"Obermayer, Rebmann, Maxwell & Hippel, LLP",Legal Services,Legal Services,10/1/2015,9/30/2016,91,500000,0,"Obermayer, Rebmann, Maxwell & Hippel, LLP",1,ADVERTISED,For Profit,
1420569,142056902,FINANCE,"Public Consulting Group, Inc.",Accounting and Auditing Svcs,Cost Allocation Plan,6/14/2015,6/30/2016,0,150150,75000,"Public Consulting Group, Inc.",1,ADVERTISED,For Profit,
1420569,142056903,FINANCE,"Public Consulting Group, Inc.",Accounting and Auditing Svcs,Cost Allocation Plan,6/14/2016,6/13/2017,347,75075,0,"Public Consulting Group, Inc.",1,ADVERTISED,For Profit,
1320751,132075103,FINANCE,Public Financial Management Inc,General Consultant Services,Financial consulting srvs,6/1/2015,5/31/2016,0,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit,
1320751,132075104,FINANCE,Public Financial Management Inc,General Consultant Services,Financial Consulting Srvs,6/1/2016,5/31/2017,334,110000,0,Public Financial Management Inc,1,ADVERTISED,For Profit,
820428,820428,FINANCE,RBC Capital Markets,Investment Advisor-Manager,Remarketing Agent,12/7/2007,8/1/2031,5509,0,0,RBC Capital Markets,1,ADVERTISED,For Profit,
1520502,152050201,FINANCE,"Robert Half of Pennsylvania, Inc.",General Consultant Services,Salaried Prof Services,2/17/2016,2/16/2017,230,100000,0,"Robert Half of Pennsylvania, Inc.",3,EXEMPT,For Profit,
1420143,142014302,FINANCE,"Schaff & Young,  PC",Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,"Schaff & Young,  PC",1,ADVERTISED,For Profit,
1420145,142014502,FINANCE,"Swartz Campbell, LLC",Legal Services,Legal services,7/1/2015,6/30/2016,0,500000,0,"Swartz Campbell, LLC",1,ADVERTISED,For Profit,
1420146,142014602,FINANCE,"The Chartwell Law Offices, LLP",Legal Services,Legal Services,7/1/2015,6/30/2016,0,500000,0,"The Chartwell Law Offices, LLP",1,ADVERTISED,For Profit,
1520286,152028601,FINANCE,The Graham Company,General Consultant Services,Insurance Brokerage Srvs,9/1/2015,8/31/2016,61,229457,229457,The Graham Company,1,ADVERTISED,For Profit,
1620136,1620136,FINANCE,The Graham Company,General Consultant Services,Owner Controlled Ins Prog,7/17/2015,7/16/2016,15,542342,0,The Graham Company,1,ADVERTISED,For Profit,
MPXX16000236,MPXX16000236,FINANCE,The Graham Company,Miscellaneous Order,Insurance Brokerage Srvs,10/8/2015,6/30/2016,0,3407,3407,The Graham Company,102,EXEMPT,For Profit,
MPXX16000074,MPXX16000074,FINANCE,"Willis of New York, Inc.",Miscellaneous Order,Insurance Brokerage Srvs,7/3/2015,6/30/2016,0,22500,22500,"Willis of New York, Inc.",102,EXEMPT,For Profit,
MPXX16000349,MPXX16000349,FINANCE,"Willis of New York, Inc.",Miscellaneous Order,Insurance brokerage srvs,3/17/2016,6/30/2016,0,5000,5000,"Willis of New York, Inc.",102,EXEMPT,For Profit,
1420088,142008802,FINANCE,"XEROX State & Local Solutions, Inc.",Computer and Information Svcs,Code Unit Violations Syst,7/1/2015,6/30/2016,0,1412500,1155371.02,"XEROX State & Local Solutions, Inc.",1,ADVERTISED,For Profit,
MPXX16000146,MPXX16000146,FIRE,"Community Marketing Concepts, Inc.",Miscellaneous Order,Pilot EMS/911 Education,8/10/2015,6/30/2016,0,31600,31600,"Community Marketing Concepts, Inc.",102,EXEMPT,For Profit,
1220380,122038006,FIRE,"Intermedix Holdings, Inc. d/b/a Intermedix",General Consultant Services,Billing To and Collection,2/1/2016,8/31/2016,61,4000000,0,"Intermedix Holdings, Inc. d/b/a Intermedix",1,ADVERTISED,For Profit,
MPXX16000336,MPXX16000336,FIRE,J.E.B. Environmental Services LLC,Miscellaneous Order,HAZMAT Training,4/18/2016,6/30/2016,0,8000,7735.22,J.E.B. Environmental Services LLC,104,Prior to 2-1-2006,For Profit,
1320524,132052403,FIRE,"Occupational Health Centers of the Southwest, PA",General Consultant Services,Medical Evaluation,7/1/2015,6/30/2016,0,45000,26021,"Occupational Health Centers of the Southwest, PA",1,ADVERTISED,Non Profit,
1120000,112000005,FIRE,"University of Pennsylvania, Trustees of the",General Consultant Services,EMS Medical Director,7/1/2015,6/30/2016,0,129376,0,"University of Pennsylvania, Trustees of the",1,ADVERTISED,Non Profit,
MPXX16000346,MPXX16000346,FREE LIBRARY,"ComedySportz of Philadelphia, Inc",Miscellaneous Order,Workshop,3/7/2016,6/30/2016,0,3650,3650,"ComedySportz of Philadelphia, Inc",102,EXEMPT,For Profit,
1420246,142024603,FREE LIBRARY,Community Learning Center,General Consultant Services,Adult Literacy Intake,7/1/2015,6/30/2016,0,110000,110000,Community Learning Center,1,ADVERTISED,Non Profit,
1420247,142024703,FREE LIBRARY,Congreso De Latinos Unidos Inc,General Consultant Services,Adult Literacy Intake,7/1/2015,6/30/2016,0,110000,110000,Congreso De Latinos Unidos Inc,1,ADVERTISED,Non Profit,
MPXX16000363,MPXX16000363,FREE LIBRARY,Eric Brunner,Miscellaneous Order,Workshops,4/13/2016,6/30/2016,0,650,0,Eric Brunner,102,EXEMPT,For Profit,
MPXX16000315,MPXX16000315,FREE LIBRARY,Friends of the Free Library of Philadelphia,Miscellaneous Order,Community Outreach progra,7/1/2015,6/30/2016,0,25000,25000,Friends of the Free Library of Philadelphia,102,EXEMPT,Non Profit,
MPXX16000093,MPXX16000093,FREE LIBRARY,Jordan Klein,Miscellaneous Order,Graphic Designing,7/1/2015,6/30/2016,0,20000,14054,Jordan Klein,102,EXEMPT,For Profit,
MPXX16000360,MPXX16000360,FREE LIBRARY,Kim Neubauer,Miscellaneous Order,workshop,4/9/2016,6/30/2016,0,600,0,Kim Neubauer,102,EXEMPT,For Profit,
MPXX16000345,MPXX16000345,FREE LIBRARY,Leasot Academy,Miscellaneous Order,Workshop/Training,3/5/2016,6/30/2016,0,4550,1365,Leasot Academy,102,EXEMPT,For Profit,
MPXX16000357,MPXX16000357,FREE LIBRARY,Maria Fanelli LLC,Miscellaneous Order,Workshops,4/5/2016,6/30/2016,0,1100,1100,Maria Fanelli LLC,102,EXEMPT,For Profit,
MPXX16000377,MPXX16000377,FREE LIBRARY,"Marie Amey-Taylor, Ed. D.",Miscellaneous Order,training/workshop,4/1/2016,6/30/2016,0,650,650,"Marie Amey-Taylor, Ed. D.",102,EXEMPT,For Profit,
1320425,132042504,FREE LIBRARY,PeopleShare,General Consultant Services,Literacy program,7/1/2015,6/30/2016,0,199000,199000,PeopleShare,1,ADVERTISED,For Profit,
1520459,152045901,FREE LIBRARY,"Personal Security Services, LLC",General Consultant Services,Cash Management,1/1/2016,12/31/2016,183,113004,0,"Personal Security Services, LLC",1,ADVERTISED,For Profit,
1420248,142024803,FREE LIBRARY,Phila Hospital & Health Care 1199C Training & Upgrading Fund,General Consultant Services,Adult Literacy Intake,7/1/2015,6/30/2016,0,110000,110000,Phila Hospital & Health Care 1199C Training & Upgrading Fund,1,ADVERTISED,Non Profit,
1320269,132026904,FREE LIBRARY,Project H O M E Inc,General Consultant Services,Restroom attendant svc,7/1/2015,6/30/2016,0,74071,48514.28,Project H O M E Inc,1,ADVERTISED,Non Profit,
MPXX16000361,MPXX16000361,FREE LIBRARY,Singletary Group Inc DBA First Contact HR,Miscellaneous Order,Background Screening,4/9/2016,6/30/2016,0,15000,13153.75,Singletary Group Inc DBA First Contact HR,102,EXEMPT,For Profit,
1320107,132010703,FREE LIBRARY,"Unique Management Services, Inc",General Consultant Services,Overdue Notice Mailing Sv,7/1/2015,6/30/2016,0,125000,67198.23,"Unique Management Services, Inc",1,ADVERTISED,For Profit,
1420002,142000202,FREE LIBRARY,Verizon,Computer and Information Svcs,Wide Area Network Service,7/1/2015,6/30/2016,0,1054700,930641.92,Verizon,1,ADVERTISED,For Profit,
MPXX16000173,MPXX16000173,FREE LIBRARY,Warren Davis Graham,Miscellaneous Order,Training,8/26/2015,6/30/2016,0,5200,5200,Warren Davis Graham,102,EXEMPT,For Profit,
MPXX16000359,MPXX16000359,FREE LIBRARY,"eXude Benefits Group, Inc.",Miscellaneous Order,Workshop,4/9/2016,6/30/2016,0,850,0,"eXude Benefits Group, Inc.",102,EXEMPT,For Profit,
1320151,132015105,HEALTH,AIDS Law Project of Pennsylvania,Legal Services,FY 16 RWB Legal Services,7/1/2015,6/30/2016,0,108046,103220,AIDS Law Project of Pennsylvania,9,EXEMPT,Non Profit,
